ticker,year,review_count,rating,POST_CHATGPT,word_count_pros,word_count_cons
KIM,2023,14,3.857142857142857,1,88,101
KIM,2024,11,3.5833333333333335,1,84,107
KIM,2025,8,3.3333333333333335,1,89,215
KRC,2014,2,3.5,0,14,23
KRC,2015,4,3.25,0,32,42
KRC,2016,6,3.0,0,97,65
KRC,2017,4,3.75,0,31,36
KRC,2018,2,3.5,0,18,7
KRC,2019,6,3.0,0,65,186
KRC,2020,8,3.875,0,53,116
KRC,2021,9,3.4,0,79,241
KRC,2022,8,3.875,0,58,127
KRC,2023,6,3.1666666666666665,1,59,65
KRC,2024,12,3.75,1,269,259
KRC,2025,7,4.0,1,135,135
KRG,2015,1,4.0,0,5,4
KRG,2016,2,1.5,0,19,37
KRG,2017,4,2.75,0,47,16
KRG,2018,1,3.0,0,4,3
KRG,2019,3,2.3333333333333335,0,40,40
KRG,2020,4,2.25,0,27,199
KRG,2021,5,3.4,0,35,92
KRG,2022,7,4.142857142857143,0,108,75
KRG,2023,4,3.25,1,17,22
KRG,2024,6,3.5,1,90,208
KRG,2025,3,4.333333333333333,1,24,29
LADR,2017,1,2.0,0,5,10
LADR,2018,1,5.0,0,6,5
LADR,2024,1,5.0,1,4,2
LAMR,2014,15,3.3125,0,181,269
LAMR,2015,34,3.1714285714285713,0,516,795
LAMR,2016,20,3.6666666666666665,0,202,220
LAMR,2017,32,3.5588235294117645,0,302,332
LAMR,2018,26,3.5357142857142856,0,246,308
LAMR,2019,19,3.5789473684210527,0,181,290
LAMR,2020,21,3.9545454545454546,0,127,156
LAMR,2021,54,3.625,0,377,518
LAMR,2022,46,3.7,0,410,591
LAMR,2023,65,4.338235294117647,1,820,546
LAMR,2024,98,4.418367346938775,1,1022,797
LAMR,2025,36,4.081081081081081,1,297,221
LINE,2014,13,2.8461538461538463,0,107,236
LINE,2015,29,2.586206896551724,0,272,442
LINE,2016,22,2.5,0,176,279
LINE,2017,31,3.064516129032258,0,277,600
LINE,2018,21,3.4545454545454546,0,219,218
LINE,2019,24,3.12,0,170,170
