original_word,word,section,coef,t_stat,p_value,converged,mean_count,std_count,status
properly,properli,cons,-12.295582081766277,-0.0008702397449644,0.9993056492309365,True,0.0890269151138716,0.3784348355284105,success
property,properti,cons,-15.01200353925056,-0.0010206616470484,0.9991856299714116,True,1.650103519668737,6.446927381326017,success
prospects,prospect,cons,-18.71713602253873,-7.952892222684663e-05,0.9999365451008848,True,0.0476190476190476,0.2688244553505839,success
protect,protect,cons,-13.675296354907706,-0.0010119085552233,0.9991926139246312,True,0.0973084886128364,0.4055170791990719,success
protocols,protocol,cons,-18.10131730380561,-8.361348801065217e-05,0.9999332860889192,True,0.020703933747412,0.1494846957033929,success
proud,proud,cons,-18.487860584970388,-4.632892080880682e-05,0.9999630348693812,True,0.0165631469979296,0.135496134757401,success
prove,prove,cons,-18.84332013104306,-0.0001100988364199,0.9999121538384356,True,0.0331262939958592,0.2204361350593153,success
proven,proven,cons,-18.13310425439344,-3.935212312540337e-05,0.9999686015485316,True,0.0124223602484472,0.110761208075323,success
provide,provid,cons,-14.061043955510966,-0.0012332696722361,0.9990159934186544,True,0.3716356107660455,1.11157229947104,success
psychologically,psycholog,cons,1.815357336263767,3.2094509334913195e-06,0.9999974392286516,True,0.0082815734989648,0.0906255429740757,success
pto,pto,cons,-13.55649830585392,-0.0011417076023976,0.9990890493289992,True,0.3426501035196687,1.6846594460011866,success
public,public,cons,-10.069959922940791,-0.0007115395820789,0.9994322736009646,True,0.2412008281573499,1.5553288505567096,success
publicly,publicli,cons,-18.89074074449947,-0.0001351829925759,0.999892139577669,True,0.0496894409937888,0.235588569218624,success
pull,pull,cons,-12.368151130990617,-0.0008547759711413,0.9993179875327322,True,0.0848861283643892,0.3793851098388181,success
punch,punch,cons,-18.72994719944283,-5.86691238911469e-05,0.9999531888118782,True,0.025879917184265,0.19399099803663,success
punished,punish,cons,-19.28956172276169,-7.350650751037818e-05,0.9999413502925918,True,0.0383022774327122,0.2172261030582783,success
purchase,purchas,cons,-12.09789123924917,-0.0006593793688674,0.9994738914199924,True,0.0527950310559006,0.3254356109428092,success
pure,pure,cons,-20.259877826002533,-3.8076605931690754e-05,0.9999696192640066,True,0.0093167701863354,0.0960727223494287,success
purpose,purpos,cons,-16.29958854760387,-9.221209445071148e-05,0.9999264253936228,True,0.031055900621118,0.1905324428593536,success
pursue,pursu,cons,-18.90155021016929,-4.736593258250097e-05,0.9999622074536986,True,0.0165631469979296,0.1567494263415958,success
push,push,cons,-14.406804722295895,-0.0010649545862197,0.9991502893383126,True,0.2639751552795031,0.7529695080998177,success
put,put,cons,-14.713729692289188,-0.0008831346092318,0.9992953606217778,True,0.4730848861283644,1.3676233359619296,success
qualifications,qualif,cons,-17.8820991463662,-4.338782051018433e-05,0.9999653815278988,True,0.015527950310559,0.1236399331515179,success
qualified,qualifi,cons,-13.129825402432411,-0.0009506502979902,0.9992414909187596,True,0.093167701863354,0.3606052348998301,success
quality,qualiti,cons,-13.362381509572456,-0.0008725769319601,0.9993037844262248,True,0.2060041407867494,0.6900694416878521,success
quantity,quantiti,cons,-17.19504942584347,-5.1662483809844666e-05,0.9999587793018138,True,0.0238095238095238,0.1775505671194894,success
quarter,quarter,cons,-14.549295597239906,-0.0009020996202057,0.9992802287383548,True,0.0683229813664596,0.3604268852005583,success
quarterly,quarterli,cons,-18.113213033483188,-5.196174894354329e-05,0.9999585405227844,True,0.0590062111801242,0.3399498287832863,success
que,que,cons,6.9427194236578185,6.780818995457859e-06,0.999994589689214,True,0.0186335403726708,0.3747526392910151,success
questions,question,cons,-15.022968732105769,-0.0011342004370192,0.9990950391764716,True,0.2753623188405797,0.8003322441481378,success
quick,quick,cons,-12.79113171701736,-0.0008893825160703,0.9992903755153316,True,0.0859213250517598,0.3832255632386353,success
quickly,quickli,cons,-14.827812430342943,-0.0008923059840561,0.9992880429262876,True,0.1749482401656314,0.5241909347148953,success
quiet,quiet,cons,2.3906970365880618,7.625759695320329e-06,0.9999939155240748,True,0.0269151138716356,0.1681103324952208,success
quite,quit,cons,-14.323672230988358,-0.0011560709326886,0.9990775890570818,True,0.3146997929606625,0.924886688230623,success
quo,quo,cons,-20.38401418663366,-7.29346208452119e-05,0.9999418065921312,True,0.0124223602484472,0.110761208075323,success
quote,quot,cons,-17.85317639035223,-3.536921673183738e-05,0.9999717794480478,True,0.010351966873706,0.1012166174872075,success
quota,quota,cons,-10.662587387313218,-0.0006611121816087,0.9994725088357608,True,0.0683229813664596,0.4113939884046184,success
race,race,cons,-19.711351536713863,-6.049603613044304e-05,0.9999517311468112,True,0.0248447204968944,0.1684287597466893,success
racial,racial,cons,-18.019970645110384,-3.910664528053442e-05,0.9999687974115138,True,0.0124223602484472,0.110761208075323,success
racism,racism,cons,-18.22845982250865,-5.709793158606179e-05,0.9999544424419584,True,0.025879917184265,0.19399099803663,success
racist,racist,cons,-12.802837279812325,-0.0009254458616748,0.999261601140511,True,0.0341614906832298,0.2179156645602097,success
racks,rack,cons,5.481124581647773,9.700902937991642e-06,0.99999225979932,True,0.0082815734989648,0.1201006626275211,success
radar,radar,cons,-17.568124290734772,-3.301802021852911e-05,0.999973655431444,True,0.0093167701863354,0.0960727223494287,success
rain,rain,cons,-15.338714012598086,-2.670944418358215e-05,0.9999786889468608,True,0.0217391304347826,0.1891012804449259,success
raises,rais,cons,-13.506636642733945,-0.0011146807341844,0.9991106136361488,True,0.8944099378881988,3.2108817654762865,success
rallies,ralli,cons,-19.437684599365987,-2.1091600519172063e-05,0.9999831713375844,True,0.0031055900621118,0.0556412200843755,success
ramp,ramp,cons,-20.24597202618579,-3.587482169011483e-05,0.999971376033658,True,0.0082815734989648,0.0906255429740757,success
rampant,rampant,cons,-14.020714343106029,-0.0011158041219002,0.999109717302992,True,0.041407867494824,0.2282884496701537,success
ran,ran,cons,-11.929333254334429,-0.0010290889898486,0.999178905928234,True,0.0486542443064182,0.2588260855570813,success
random,random,cons,-17.875885038133507,-5.92593692149248e-05,0.9999527178642482,True,0.0289855072463768,0.2014142692673343,success
randomly,randomli,cons,-17.190082549887617,-3.405510571545769e-05,0.9999728279569384,True,0.010351966873706,0.1012166174872075,success
range,rang,cons,-12.078037075646876,-0.0010195075241856,0.999186550827746,True,0.046583850931677,0.2551817577952317,success
ranks,rank,cons,-11.725642481109864,-0.0009675171942723,0.9992280330888172,True,0.0445134575569358,0.2387985830704427,success
rapid,rapid,cons,-16.929650593140554,-0.0001146660456318,0.9999085097327426,True,0.0445134575569358,0.2555510453420527,success
rapidly,rapidli,cons,-19.37962974731243,-7.182671627694214e-05,0.9999426905720789,True,0.036231884057971,0.2078478004082448,success
rapport,rapport,cons,48.05914006351115,6.296596573375086e-06,0.9999949760428084,False,0.0041407867494824,0.0787021855434708,not_converged
rarely,rare,cons,-13.357336137180283,-0.0011712441207172,0.9990654826128124,True,0.1366459627329192,0.48150335327231,success
rats,rat,cons,-14.794573260042933,-3.129917278827643e-05,0.9999750268732704,True,0.0320910973084886,0.3086153810149503,success
rate,rate,cons,-14.559860110079867,-0.0009699681387383,0.999226077518986,True,0.582815734989648,2.155179312432708,success
rather,rather,cons,-14.532923301615549,-0.0010356679359323,0.9991736566915248,True,0.2453416149068323,0.6600505323423542,success
ratio,ratio,cons,-19.642476592395116,-4.604306125629088e-05,0.9999632629523044,True,0.0144927536231884,0.1195103079889177,success
reach,reach,cons,-12.538912755167718,-0.0010306933007503,0.9991776258740136,True,0.1200828157349896,0.4751270870358117,success
reachable,reachabl,cons,-19.77040409236604,-2.4771363976679343e-05,0.999980235311135,True,0.0041407867494824,0.0642155793758626,success
react,react,cons,3.911552704221565,9.794929649996332e-06,0.9999921847768584,True,0.0165631469979296,0.1276276191090885,success
reactionary,reactionari,cons,-19.58987494969696,-4.070364936857015e-05,0.9999675231866094,True,0.0113871635610766,0.1061013480928017,success
reactive,reactiv,cons,-19.25244938835589,-5.6573001550586565e-05,0.9999548612755286,True,0.0227743271221532,0.1491833004940109,success
read,read,cons,-11.77851156394681,-0.0008189738611551,0.9993465534735296,True,0.0859213250517598,0.3666598860948959,success
ready,readi,cons,-14.042520288100349,-0.0011086067859324,0.9991154599426878,True,0.1107660455486542,0.4330402334841872,success
readily,readili,cons,3.386795492348448,5.994603249449749e-06,0.9999952169986192,True,0.0082815734989648,0.0906255429740757,success
real,real,cons,-16.207569740757766,-0.00092029210286,0.9992657132433485,True,0.4233954451345755,0.9874110610366454,success
realistic,realist,cons,-16.109633969071645,-5.4348474008363446e-05,0.9999566361917068,True,0.0300207039337474,0.1986741758326322,success
reality,realiti,cons,-14.030743516155333,-0.0009872581349687,0.9992122821045434,True,0.087991718426501,0.3428064419759261,success
realize,realiz,cons,-13.41418440358064,-0.0009383060024387,0.9992513402372012,True,0.0869565217391304,0.3445759120806987,success
really,realli,cons,-16.52730949280242,-0.0009313391537407,0.9992568989757858,True,1.1335403726708075,2.9219971919878627,success
realty,realti,cons,-23.48576150491952,-5.941993199986451e-05,0.9999525897536812,True,0.0062111801242236,0.0907909397485743,success
reap,reap,cons,-18.256829794359128,-3.0260685757659725e-05,0.9999758554660384,True,0.0072463768115942,0.0848166660197074,success
reason,reason,cons,-14.205830124697162,-0.0011140403979206,0.9991111245502504,True,0.2971014492753623,0.8715255680672834,success
receive,receiv,cons,-13.98701757568614,-0.0010717506206762,0.9991448668904396,True,0.2836438923395445,0.9158606884911952,success
recently,recent,cons,-14.847027805133513,-0.000911778305319,0.99927250626811,True,0.1821946169772256,0.6385913484885289,success
receptive,recept,cons,1.1078604723232597,1.9575447913047e-06,0.999998438105234,True,0.0082815734989648,0.0906255429740757,success
recession,recess,cons,-17.980345118479168,-2.6264228080103196e-05,0.999979044177916,True,0.0020703933747412,0.0454544480333336,success
recognized,recogn,cons,-13.723184037147195,-0.0010525825409883,0.9991601607966552,True,0.1045548654244306,0.4049895310766819,success
recognition,recognit,cons,-14.009845653837758,-0.0012049687504084,0.9990385742704562,True,0.1314699792960662,0.4198778692455631,success
recommend,recommend,cons,-13.57111007338384,-0.0011854727886648,0.9990541297862182,True,0.1356107660455486,0.4654023723249225,success
record,record,cons,-13.02464595328004,-0.0007438759404227,0.999406472926722,True,0.0579710144927536,0.2744345271988321,success
recourse,recours,cons,-18.383806958947464,-2.5753041836438985e-05,0.9999794520455272,True,0.005175983436853,0.0849681470143702,success
recover,recov,cons,-20.445668249333355,-3.84259910901851e-05,0.9999693404949832,True,0.0093167701863354,0.1063031577817499,success
recruiting,recruit,cons,-17.295697564934205,-8.251946002185157e-05,0.9999341589969576,True,0.0600414078674948,0.3193510473649497,success
red,red,cons,-14.144039942097445,-0.0008005627637225,0.999361243399102,True,0.056935817805383,0.2727600854297183,success
reduced,reduc,cons,-12.948391111988547,-0.0009375137224948,0.999251972384858,True,0.093167701863354,0.4039336943522053,success
reduction,reduct,cons,3.598151046007957,5.63243778183302e-06,0.9999955059648542,True,0.0175983436853002,0.1532965169501834,success
redundant,redund,cons,-20.14093411379985,-0.0001176814352801,0.9999061037999136,True,0.0331262939958592,0.1846600552818619,success
refer,refer,cons,-18.038125467889994,-6.189485474821231e-05,0.9999506150510348,True,0.031055900621118,0.2061887288533892,success
referrals,referr,cons,-13.737362734496488,-2.1080457902557463e-05,0.9999831802281062,True,0.0062111801242236,0.0785659046004566,success
refine,refin,cons,-17.29210458169724,-3.064087707871339e-05,0.9999755521172532,True,0.0082815734989648,0.1201006626275211,success
reflect,reflect,cons,-14.132191278778532,-0.0008492703302,0.999322380397042,True,0.0641821946169772,0.2949202508861697,success
refreshing,refresh,cons,-18.52400893743737,-3.669754251435496e-05,0.999970719597415,True,0.010351966873706,0.1109738574182807,success
refuse,refus,cons,-11.346457926743444,-0.0007745435888716,0.9993820036905616,True,0.082815734989648,0.390591658760395,success
regarding,regard,cons,-14.816751362698945,-0.0008230524632073,0.9993432992210192,True,0.1490683229813664,0.4799652349930665,success
regardless,regardless,cons,-13.60064261921509,-0.0008746396934638,0.9993021385812966,True,0.0734989648033126,0.3213931460793065,success
regency,regenc,cons,-22.15718477608274,-5.117386291852483e-05,0.9999591691648784,True,0.005175983436853,0.0849681470143701,success
regime,regim,cons,-17.786450786170022,-3.695651591670557e-05,0.9999705129665356,True,0.0113871635610766,0.1321691196586158,success
regional,region,cons,-15.309368870848443,-0.0012990331999878,0.9989635217572668,True,0.3478260869565217,1.2137627081860929,success
regret,regret,cons,-14.201891742072062,-4.077131471821878e-05,0.9999674691974716,True,0.0217391304347826,0.1593967609213076,success
regulations,regul,cons,-18.76330220988168,-4.84659253095895e-05,0.9999613297864856,True,0.0175983436853002,0.1391367505714269,success
regular,regular,cons,-13.478780315403542,-0.0010389418619198,0.9991710444779316,True,0.1055900621118012,0.4185524369896011,success
regularly,regularli,cons,-14.256436226055852,-0.0007995551524305,0.999362047356338,True,0.0559006211180124,0.2593617074662743,success
rehab,rehab,cons,2.334187324540132,2.658035953897168e-06,0.9999978791941504,True,0.0093167701863354,0.1323311810519169,success
reimbursement,reimburs,cons,-10.550147905129904,-0.0008290460682452,0.9993385170177276,True,0.0403726708074534,0.268083964934842,success
reinforcement,reinforc,cons,2.856231152475911,5.653037822145576e-06,0.9999954895284,True,0.010351966873706,0.1109738574182807,success
reinvest,reinvest,cons,1.5522711137769676,3.918595508794069e-06,0.9999968734131436,True,0.0062111801242236,0.0785659046004566,success
reit,reit,cons,-20.040919196733537,-8.607279941879509e-05,0.9999313238423234,True,0.0486542443064182,0.2961332070407059,success
rejected,reject,cons,-18.1785900979508,-2.490637251379175e-05,0.9999801275899076,True,0.0134575569358178,0.1319743832969847,success
relatively,rel,cons,-14.771738264429056,-0.0009499513549763,0.9992420485943474,True,0.0734989648033126,0.3148853245187397,success
related,relat,cons,-14.009213830697323,-0.0010366168477791,0.999172899569819,True,0.0973084886128364,0.4537091237973624,success
relationships,relationship,cons,-12.975452204209756,-0.0010099032150909,0.9991942139537444,True,0.1076604554865424,0.4028923799263161,success
relaxed,relax,cons,-19.146400565405862,-4.488081306909457e-05,0.999964190292188,True,0.0144927536231884,0.1278792676329793,success
released,releas,cons,4.182286419651276,1.1105244102990464e-05,0.9999911392971864,True,0.0186335403726708,0.1352269630874362,success
relevant,relev,cons,-17.417616297866026,-4.879883726235048e-05,0.9999610641611788,True,0.020703933747412,0.1562564162659478,success
rely,reli,cons,-16.291403096103284,-6.038115290576065e-05,0.9999518228103624,True,0.036231884057971,0.1976358302157358,success
reliable,reliabl,cons,-13.09675164168227,-6.487551237631358e-05,0.9999482368303372,True,0.0238095238095238,0.1775505671194894,success
relief,relief,cons,-2.384995626244608,-5.185572377327622e-06,0.9999958625118612,True,0.0921325051759834,0.957048715224018,success
religious,religi,cons,0.8022537265618209,1.5031780413378238e-06,0.9999988006374488,True,0.0093167701863354,0.1156319796990124,success
religion,religion,cons,3.206961134694226,6.021089282839127e-06,0.999995195865822,True,0.0093167701863354,0.1063031577817499,success
relocate,reloc,cons,-12.934473815090644,-0.0009920875968255,0.999208428753378,True,0.1045548654244306,0.50097209704817,success
remain,remain,cons,-14.02299089417597,-0.0009572518110818,0.9992362236757824,True,0.082815734989648,0.3395508255738089,success
remarkable,remark,cons,-18.765642886974867,-4.3987935018538016e-05,0.9999649027057984,True,0.0144927536231884,0.1195103079889176,success
remember,rememb,cons,-11.522126523223644,-0.0009939610988745,0.9992069339157554,True,0.0486542443064182,0.2627952357626423,success
remind,remind,cons,-18.10406856704089,-6.613359424112825e-05,0.9999472330262432,True,0.0351966873706004,0.229328194824377,success
remodeled,remodel,cons,6.356838793166411,8.895724396135697e-06,0.9999929022388472,True,0.005175983436853,0.071757875054341,success
remote,remot,cons,-15.756488575496368,-0.001171554765782,0.9990652347540814,True,0.2670807453416149,1.0618030134836325,success
removed,remov,cons,-13.256116251349775,-0.0008761682703631,0.999300918953856,True,0.077639751552795,0.3299680306892728,success
remuneration,remuner,cons,-18.21690042642612,-1.976694212821093e-05,0.9999842282620628,True,0.0031055900621118,0.0556412200843755,success
renewals,renew,cons,-14.090351528024998,-0.0007975239097306,0.9993636680530108,True,0.056935817805383,0.4016896637240715,success
renovated,renov,cons,-19.976577094213123,-2.2772088069801e-05,0.9999818305025134,True,0.0093167701863354,0.1063031577817499,success
rent,rent,cons,-12.10910506988869,-0.0009692615623027,0.99922664128515,True,0.3095238095238095,1.6101555230595952,success
rental,rental,cons,-14.056067769645804,-5.205909325356904e-05,0.9999584628532624,True,0.098343685300207,0.7148653392835506,success
