ticker,year,mnir_score_pros,mnir_score_cons,mnir_ai_productivity
ELME,2016,0.0,0.0,0.0
ELME,2018,0.0,0.0,0.0
ELME,2019,0.0,0.0,0.0
ELME,2020,0.0,0.0,0.0
ELME,2021,0.0,0.0,0.0
ELME,2022,0.0,0.0,0.0
ELME,2023,0.0,0.0,0.0
ELME,2024,0.0,0.0,0.0
ELME,2025,0.0,0.0,0.0
ELS,2011,0.0,0.0,0.0
ELS,2012,0.0,0.0,0.0
ELS,2013,0.0,0.0,0.0
ELS,2014,0.0,0.0,0.0
ELS,2015,0.0,0.0,0.0
ELS,2016,0.0,0.0,0.0
ELS,2017,0.0,0.0,0.0
ELS,2018,0.0,0.0,0.0
ELS,2019,0.0,0.0,0.0
ELS,2020,0.0,0.0,0.0
ELS,2021,0.0,0.0,0.0
ELS,2022,0.0,0.0,0.0
ELS,2023,0.0,0.0,0.0
ELS,2024,0.0,0.0,0.0
ELS,2025,0.0,0.0,0.0
EPRT,2020,0.0,0.0,0.0
EPRT,2024,0.0,0.0,0.0
EPRT,2025,0.0,0.0,0.0
EQIX,2008,0.0,0.0,0.0
EQIX,2010,0.0,0.0,0.0
EQIX,2011,0.0,0.0,0.0
EQIX,2012,0.0,0.0,0.0
EQIX,2013,0.0,0.0,0.0
EQIX,2014,0.0,0.0,0.0
EQIX,2015,0.0,0.0,0.0
EQIX,2016,0.0,0.0,0.0
EQIX,2017,0.0,0.0,0.0
EQIX,2018,0.0,0.0,0.0
EQIX,2019,0.0,0.0,0.0
EQIX,2020,0.0,0.0,0.0
EQIX,2021,0.0,0.0,0.0
EQIX,2022,0.0,0.0,0.0
EQIX,2023,0.0,0.0,0.0
EQIX,2024,0.0,0.0,0.0
EQIX,2025,0.0,0.0,0.0
EQR,2008,0.0,0.0,0.0
EQR,2009,0.0,0.0,0.0
EQR,2010,0.0,0.0,0.0
EQR,2011,0.0,0.0,0.0
EQR,2012,0.0,0.0,0.0
EQR,2013,0.0,0.0,0.0
EQR,2014,0.0,0.0,0.0
EQR,2015,0.0,0.0,0.0
EQR,2016,0.0,0.0,0.0
EQR,2017,0.0,0.0,0.0
EQR,2018,0.0,0.0,0.0
EQR,2019,0.0,0.0,0.0
EQR,2020,0.0,0.0,0.0
EQR,2021,0.0,0.0,0.0
EQR,2022,0.0,0.0,0.0
EQR,2023,0.0,0.0,0.0
EQR,2024,0.0,0.0,0.0
EQR,2025,0.0,0.0,0.0
ESRT,2015,0.0,0.0,0.0
ESRT,2016,0.0,0.0,0.0
ESRT,2017,0.0,0.0,0.0
ESRT,2018,0.0,0.0,0.0
ESRT,2019,0.0,0.0,0.0
ESRT,2020,0.0,0.0,0.0
ESRT,2021,0.0,0.0,0.0
ESRT,2022,0.0,0.0,0.0
ESRT,2023,0.0,0.0,0.0
ESRT,2024,0.0,0.0,0.0
ESRT,2025,0.0,0.0,0.0
ESS,2010,0.0,0.0,0.0
ESS,2011,0.0,0.0,0.0
ESS,2012,0.0,0.0,0.0
ESS,2013,0.0,0.0,0.0
ESS,2014,0.0,0.0,0.0
ESS,2015,0.0,0.0,0.0
ESS,2016,0.0,0.0,0.0
ESS,2017,0.0,0.0,0.0
ESS,2018,0.0,0.0,0.0
ESS,2019,0.0,0.0,0.0
ESS,2020,0.0,0.0,0.0
ESS,2021,0.0,0.0,0.0
ESS,2022,0.0,0.0,0.0
ESS,2023,0.0,0.0,0.0
ESS,2024,0.0,0.0,0.0
ESS,2025,0.0,0.0,0.0
EXR,2009,0.0,0.0,0.0
EXR,2010,0.0,0.0,0.0
EXR,2011,0.0,0.0,0.0
EXR,2012,0.0,0.0,0.0
EXR,2013,0.0,0.0,0.0
EXR,2014,0.0,0.0,0.0
EXR,2015,0.0,0.0,0.0
EXR,2016,0.0,0.0,0.0
EXR,2017,0.0,0.0,0.0
EXR,2018,0.0,0.0,0.0
EXR,2019,0.0,0.0,0.0
EXR,2020,0.0,0.0,0.0
EXR,2021,0.0,0.0,0.0
EXR,2022,0.0,0.0,0.0
EXR,2023,0.0,0.0,0.0
EXR,2024,0.0,0.0,0.0
EXR,2025,0.0,0.0,0.0
FCPT,2021,0.0,0.0,0.0
FCPT,2024,0.0,0.0,0.0
FR,2009,0.0,0.0,0.0
FR,2010,0.0,0.0,0.0
FR,2011,0.0,0.0,0.0
FR,2013,0.0,0.0,0.0
FR,2014,0.0,0.0,0.0
FR,2015,0.0,0.0,0.0
FR,2016,0.0,0.0,0.0
FR,2017,0.0,0.0,0.0
FR,2018,0.0,0.0,0.0
FR,2019,0.0,0.0,0.0
FR,2020,0.0,0.0,0.0
FR,2021,0.0,0.0,0.0
FR,2022,0.0,0.0,0.0
FR,2024,0.0,0.0,0.0
FRT,2010,0.0,0.0,0.0
FRT,2011,0.0,0.0,0.0
FRT,2013,0.0,0.0,0.0
FRT,2014,0.0,0.0,0.0
FRT,2015,0.0,0.0,0.0
FRT,2016,0.0,0.0,0.0
FRT,2017,0.0,0.0,0.0
FRT,2018,0.0,0.0,0.0
FRT,2019,0.0,0.0,0.0
FRT,2020,0.0,0.0,0.0
FRT,2021,0.0,0.0,0.0
FRT,2022,0.0,0.0,0.0
FRT,2023,0.0,0.0,0.0
FRT,2024,0.0,0.0,0.0
FRT,2025,0.0,0.0,0.0
FSP,2011,0.0,0.0,0.0
FSP,2018,0.0,0.0,0.0
FSP,2023,0.0,0.0,0.0
GNL,2024,0.0,0.0,0.0
GTY,2022,0.0,0.0,0.0
GTY,2023,0.0,0.0,0.0
GTY,2024,0.0,0.0,0.0
HHH,2014,0.0,0.0,0.0
HHH,2015,0.0,0.0,0.0
HHH,2016,0.0,0.0,0.0
HHH,2017,0.0,0.0,0.0
HHH,2018,0.0,0.0,0.0
HHH,2019,0.0,0.0,0.0
HHH,2020,0.0,0.0,0.0
HHH,2021,0.0,0.0,0.0
HHH,2022,0.0,0.0,0.0
HHH,2023,0.0,0.0,0.0
HHH,2024,0.0,0.0,0.0
HHH,2025,0.0,0.0,0.0
HIW,2010,0.0,0.0,0.0
HIW,2012,0.0,0.0,0.0
HIW,2014,0.0,0.0,0.0
HIW,2015,0.0,0.0,0.0
HIW,2016,0.0,0.0,0.0
HIW,2017,0.0,0.0,0.0
HIW,2019,0.0,0.0,0.0
HIW,2020,0.0,0.0,0.0
HIW,2021,0.0,0.0,0.0
HIW,2022,0.0,0.0,0.0
HIW,2023,0.0,0.0,0.0
HIW,2024,0.0,0.0,0.0
HIW,2025,0.0,0.0,0.0
HPP,2014,0.0,0.0,0.0
HPP,2015,0.0,0.0,0.0
HPP,2016,0.0,0.0,0.0
HPP,2017,0.0,0.0,0.0
HPP,2018,0.0,0.0,0.0
HPP,2019,0.0,0.0,0.0
HPP,2020,0.0,0.0,0.0
HPP,2021,0.0,0.0,0.0
HPP,2022,0.0,0.0,0.0
HPP,2023,0.0,0.0,0.0
HPP,2024,0.0,0.0,0.0
HPP,2025,0.0,0.0,0.0
HR,2010,0.0,0.0,0.0
HR,2016,0.0,0.0,0.0
HR,2017,0.0,0.0,0.0
HR,2018,0.0,0.0,0.0
