ticker,year,mnir_score_pros,mnir_score_cons,genai_productivity_index
AMT,2019,-0.013286592184999682,-0.00011149423303221826,-0.00669904320901595
AMT,2020,-0.020390379891969186,-0.023059373884135308,-0.021724876888052247
AMT,2021,-0.019177422948625192,0.008897343427737268,-0.005140039760443962
AMT,2022,-0.00812763110919366,-0.002429324197280478,-0.00527847765323707
AMT,2023,-0.008524020918606984,-0.0006918417717785225,-0.004607931345192754
AMT,2024,-0.0017228919462583332,-0.003873762206204185,-0.002798327076231259
AMT,2025,-0.009653037309159927,0.008009091046578105,-0.0008219731312909106
AOMR,2020,-0.057669352300677455,-0.05123097138774358,-0.05445016184421052
AOMR,2021,-0.000589603163520469,0.0009507975432199185,0.0001805971898497247
AOMR,2022,-0.06423093652853443,-0.03509308308465311,-0.04966200980659377
AOMR,2023,-0.08668119317771461,-0.018730199238530316,-0.05270569620812246
AOMR,2024,-0.04264615247966287,-0.019918155941753526,-0.0312821542107082
AOMR,2025,0.0,0.0,0.0
APLE,2015,-0.05835615275692321,0.04261169351444729,-0.007872229621237962
APLE,2016,0.1411446276296293,0.0,0.07057231381481464
APLE,2017,0.028233866307730084,-0.06438044789985223,-0.01807329079606107
APLE,2020,0.0675226487784484,-0.05978333055269546,0.003869659112876466
APLE,2021,-0.039810667747517355,-0.13572537020786396,-0.08776801897769065
APLE,2022,0.17448119405169968,0.11304934111788749,0.14376526758479358
APLE,2023,-0.10274458605201814,-0.04214078025338762,-0.07244268315270289
APLE,2024,-0.2530855544990128,0.0,-0.1265427772495064
ARE,2014,-0.1064327743467999,-0.03323011988327855,-0.06983144711503922
ARE,2015,-0.0731118085486546,0.058807480088250715,-0.00715216423020194
ARE,2016,-0.06830390885949841,-0.016097648348000548,-0.04220077860374948
ARE,2017,-0.046350612549431236,0.023914364965389377,-0.01121812379202093
ARE,2018,-0.07023572269623556,-0.0054498909602168815,-0.037842806828226216
ARE,2019,-0.05656163082018314,-0.03742962520696159,-0.04699562801357236
ARE,2020,-0.03540278424188854,0.04091397640778262,0.0027555960829470406
ARE,2021,-0.09222873367413031,-0.06973655519039247,-0.08098264443226139
ARE,2022,-0.05045557447171717,-0.038418304723891045,-0.044436939597804107
ARE,2023,-0.04512369706540519,0.04818979753902253,0.0015330502368086675
ARE,2024,-0.1237692592639884,-0.05351672924799799,-0.08864299425599319
ARE,2025,-0.22002960565201163,0.0,-0.11001480282600581
BDN,2014,0.06858320840661507,0.03605370247499435,0.05231845544080471
BDN,2015,-0.0811557713874593,-0.05360766138588093,-0.06738171638667012
BDN,2016,-0.02201897738414723,0.022056281653707755,1.865213478026255e-05
BDN,2017,-0.021847883853934505,0.02724422523058941,0.002698170688327452
BDN,2018,0.0010060432974033934,-0.004614037675582439,-0.0018039971890895226
BDN,2019,-0.07648240373263636,0.0528230767222148,-0.01182966350521078
BDN,2020,-0.07956548319242808,-0.001921045907189163,-0.040743264549808623
BDN,2021,-0.03969265568502066,-0.055169957732977504,-0.04743130670899908
BDN,2022,-0.1036237783577532,-0.017696102653477454,-0.06065994050561533
BDN,2023,-0.022091208172015403,-0.010697116017697501,-0.016394162094856453
BDN,2024,0.03642575477742266,0.013337074673436406,0.024881414725429533
BDN,2025,0.017990958300218497,-0.026509292770215846,-0.0042591672349986745
BFS,2016,-0.07447491367885482,-0.006469651044019413,-0.040472282361437115
BFS,2022,0.007918234098883432,-0.046478565917541126,-0.019280165909328847
BFS,2025,0.0,0.0,0.0
BNL,2019,-0.17318835061304122,0.04144114782565766,-0.06587360139369178
BNL,2022,0.018383168484387244,-0.03970798285435547,-0.010662407184984114
BNL,2024,-0.0743984008577504,0.09251350147934324,0.00905755031079642
BNL,2025,-0.010004378779306156,-0.21643816465788027,-0.11322127171859321
BRG,2021,-0.021690839122783554,-0.020193149779666415,-0.020941994451224986
BRG,2022,-0.06315380130343388,-0.13088860894278903,-0.09702120512311146
BRSP,2025,0.03438507475419756,-0.2134371156088486,-0.08952602042732552
BRX,2014,-0.04402727448386339,-0.03435600217757467,-0.03919163833071903
BRX,2015,-0.10838694107563888,0.009271785705588335,-0.04955757768502528
BRX,2016,-0.0448668190554633,0.014347514793366982,-0.01525965213104816
BRX,2017,-0.08603677327431342,-0.04990647096707392,-0.06797162212069367
BRX,2018,-0.09222933386797817,-0.030946074396346782,-0.061587704132162475
BRX,2019,-0.11954474797690742,0.021270032884333854,-0.049137357546286786
BRX,2020,-0.06374006113797907,-0.067030323267132,-0.06538519220255554
BRX,2021,-0.029949291915280566,-0.009137533332746011,-0.01954341262401329
BRX,2022,-0.030248364994597328,-0.041881021392173416,-0.03606469319338537
BRX,2023,-0.03887301622204379,-0.09237103002829776,-0.06562202312517078
BRX,2024,-0.04520004588378207,-0.02070437246064714,-0.03295220917221461
BRX,2025,-0.053451867246144966,0.012244162614170008,-0.020603852315987478
BXP,2014,-0.05542308132098433,-0.037511266853916675,-0.046467174087450505
BXP,2015,-0.003239281758312473,-0.03283322071542983,-0.01803625123687115
BXP,2016,0.04168982857726105,0.026732035912674416,0.03421093224496773
BXP,2017,-0.02863742966976203,-0.04776722049166828,-0.03820232508071515
BXP,2018,-0.005860543283904847,-0.012928269612524837,-0.009394406448214841
BXP,2019,0.006468670402750868,-0.03629835226747521,-0.014914840932362169
BXP,2020,0.0006309379243507225,-0.03599027532474681,-0.01767966870019804
BXP,2021,-0.029509292087317004,-0.008203956212612613,-0.018856624149964807
BXP,2022,-0.01731921128913662,0.005443397297449862,-0.005937906995843378
BXP,2023,0.013078239473516022,-0.02898594657655567,-0.007953853551519823
BXP,2024,-0.05083602313360709,-0.03542705524275965,-0.04313153918818337
BXP,2025,0.01889136672725304,-0.023683959046608655,-0.0023962961596778083
CBL,2014,-0.03802548058184221,-0.06770199294510594,-0.05286373676347407
CBL,2015,-0.028665547850536037,-0.02324697956474062,-0.02595626370763833
CBL,2016,-0.0004057997770355046,-0.08475462594569297,-0.042580212861364236
CBL,2017,-0.014636284507888285,-0.010764940218984019,-0.012700612363436153
CBL,2018,-0.04744084023760308,-0.08793280504073937,-0.06768682263917122
CBL,2019,-0.1565959970806159,-0.07864395758780525,-0.11761997733421056
CBL,2020,-0.05486571674102854,0.008521241196481986,-0.02317223777227328
CBL,2021,-0.07075096449580587,-0.06097562632388416,-0.06586329540984501
CBL,2022,-0.050659334499387754,-0.018332502126676344,-0.034495918313032045
CBL,2023,-0.056157623389498944,-0.02055691797986236,-0.03835727068468065
CBL,2024,-0.06840183352440554,0.00982603953554979,-0.029287896994427874
CBL,2025,-0.08840407773101074,-0.0482392971083897,-0.06832168741970021
CCI,2014,-0.17539361135831089,-0.05195650427883282,-0.11367505781857185
CCI,2015,-0.1291709339262112,-0.048511040517740814,-0.088840987221976
CCI,2016,-0.10764398606050396,-0.038481873487829006,-0.07306292977416648
CCI,2017,-0.07284370271089888,-0.04233098778592547,-0.05758734524841218
CCI,2018,-0.15330140246803875,-0.052743784612178414,-0.10302259354010858
CCI,2019,-0.12786404727194092,-0.06013570764217753,-0.09399987745705923
CCI,2020,-0.14972950481755196,-0.08498012252125813,-0.11735481366940503
CCI,2021,-0.11747723979616673,-0.049021702419926975,-0.08324947110804685
CCI,2022,-0.0770878776899795,-0.07329656356492932,-0.07519222062745441
CCI,2023,-0.0850045663863331,-0.08460933694301753,-0.0848069516646753
CCI,2024,-0.0667198882116169,-0.06381535583246614,-0.06526762202204152
CCI,2025,-0.07884306438679607,-0.06646867065369526,-0.07265586752024566
CDP,2016,-0.029411522985716487,-0.12765878292347463,-0.07853515295459555
CDP,2017,-0.15992691491835148,-0.11136570978017579,-0.13564631234926364
CDP,2018,-0.06235144074593514,-0.05365591255412279,-0.058003676650028965
CDP,2019,-0.1458129286518096,0.015252290258158085,-0.06528031919682575
CDP,2020,-0.20504988876016206,-0.14467118704525278,-0.17486053790270742
CDP,2021,-0.028533721580060963,-0.10066347198632244,-0.0645985967831917
CDP,2022,-0.005735191090986565,-0.011036252285186138,-0.008385721688086352
CDP,2023,-0.027454732729219077,-0.04367929606476875,-0.03556701439699392
