word,coef,t_stat,p_value,converged,mean_count,std_count,status,section
rto,7.031310409187561,1.2441490286592363e-05,0.9999900731269872,True,0.008281573498964804,0.1014070136336104,success,cons
rude,-14.780448313864563,-0.0008600218146658245,0.9993138019567142,True,0.16356107660455488,0.6190199208577352,success,cons
rug,-19.10323313600432,-3.771844382208355e-05,0.999969905036024,True,0.027950310559006212,0.17694597324647915,success,cons
ruin,-17.804751426569464,-3.886410152309197e-05,0.999968990933433,True,0.034161490683229816,0.21311227905959954,success,cons
rule,-14.475953569403602,-0.0009089698431206485,0.9992747470958091,True,0.19047619047619047,0.601027743795566,success,cons
rumor,-19.140669084531144,-5.624287117754949e-05,0.9999551246814559,True,0.022774327122153208,0.1559681073842584,success,cons
run,-15.333372227974927,-0.0010133013439661731,0.9991915026405667,True,0.5734989648033126,1.501649049893665,success,cons
rush,-19.377104901163406,-6.189873191415965e-05,0.999950611957504,True,0.026915113871635612,0.17415934447050177,success,cons
ruthless,-14.025924973824628,-2.6360467089103078e-05,0.9999789673902965,True,0.009316770186335404,0.09607272234942871,success,cons
rvp,-17.54100012574238,-6.501024601029353e-05,0.9999481293284509,True,0.036231884057971016,0.3213131120916798,success,cons
ryman,-22.848510671591423,-5.277038285995712e-05,0.9999578953262679,True,0.005175983436853002,0.08496814701437018,success,cons
sacrific,-18.949204439587305,-6.281615239073506e-05,0.9999498799618713,True,0.028985507246376812,0.1908583797348491,success,cons
sad,-13.212485445852954,-0.0008962696101383318,0.9992848804114963,True,0.08178053830227744,0.35616332801931927,success,cons
sadli,-16.805991958107175,-4.3410383426198994e-05,0.9999653635252966,True,0.017598343685300208,0.13148628059548365,success,cons
safe,-16.26145588846012,-8.021590006849355e-05,0.9999359969718731,True,0.06418219461697723,0.32497922203647434,success,cons
safeti,-11.271734130062086,-0.0009883670563975943,0.9992113973136878,True,0.13664596273291926,0.5719122086916612,success,cons
said,-14.747928418478985,-0.00093605907670778,0.9992531330237637,True,0.19461697722567287,0.6759794736075119,success,cons
sake,3.0229688349615875,8.666640265813132e-06,0.9999930850215379,True,0.021739130434782608,0.1458305202717254,success,cons
salari,-16.201086374291375,-0.0009012087661552534,0.9992809395367586,True,1.1045548654244306,4.163138045229313,success,cons
sale,-13.340571584780275,-0.0009542077200622819,0.9992386525078994,True,0.6718426501035196,2.7253457470712807,success,cons
salesman,-10.50862550908072,-1.6941503128942296e-05,0.9999864826362173,True,0.018633540372670808,0.18668015037432464,success,cons
salt,-17.67962502934359,-2.9303931561053086e-05,0.99997661884544,True,0.007246376811594203,0.08481666601970743,success,cons
san,-20.698900520495926,-4.492072182843625e-05,0.9999641584496051,True,0.012422360248447204,0.11076120807532303,success,cons
saniti,-16.869156959317724,-2.0268319196360132e-05,0.9999838282210409,True,0.010351966873706004,0.11097385741828072,success,cons
sat,3.144909815136305,8.572368307194993e-06,0.9999931602396782,True,0.019668737060041408,0.16602244228256963,success,cons
satisfact,-12.608031459855791,-0.001015844028741256,0.9991894738726859,True,0.042443064182194616,0.22581766396525924,success,cons
satisfactori,21.352764040873094,1.814317658205057e-05,0.9999855238395221,True,0.005175983436853002,0.08496814701437018,success,cons
satisfi,-10.755440166161408,-0.0007774509223551527,0.9993796839747605,True,0.034161490683229816,0.19800420036391406,success,cons
saturday,-10.807852399688583,-0.0008281481006856614,0.9993392334919335,True,0.2836438923395445,2.358694232384305,success,cons
save,-14.60977808343731,-0.0008087327620157166,0.9993547246857124,True,0.14803312629399587,0.5105828915776554,success,cons
savvi,-17.927573766064537,-3.176640555624255e-05,0.9999746540754587,True,0.008281573498964804,0.09062554297407573,success,cons
saw,-13.187554447925514,-0.0008176676407706287,0.9993475956862584,True,0.06832298136645963,0.3366665896364634,success,cons
say,-15.312093354412347,-0.0012673325181822989,0.9989888152210216,True,0.8995859213250518,2.2740000952272883,success,cons
sba,-14.35651307715525,-0.0007747731615589059,0.9993818205181139,True,0.051759834368530024,0.6911238546643436,success,cons
scale,-13.020267628677448,-0.001056330266739026,0.9991571705458031,True,0.11697722567287784,0.4637831352936189,success,cons
scam,-12.038158091113294,-1.4465471122720264e-05,0.9999884582239268,True,0.010351966873706004,0.11097385741828072,success,cons
scapegoat,-18.761815741584805,-3.8982689976756563e-05,0.9999688963135368,True,0.011387163561076604,0.10610134809280178,success,cons
scarc,-19.780516881156792,-4.1100381200726044e-05,0.9999672066404061,True,0.011387163561076604,0.10610134809280179,success,cons
scare,-18.10144341477271,-6.106810639682227e-05,0.9999512747007788,True,0.030020703933747412,0.18796446843298148,success,cons
scari,-17.002678051341626,-3.840541687342568e-05,0.999969356910833,True,0.013457556935817806,0.11522348327115019,success,cons
scenario,2.8603735834972195,3.913614667380413e-06,0.9999968773872799,True,0.013457556935817806,0.12388238160399657,success,cons
scene,-19.761656513966336,-4.105955618128698e-05,0.9999672392140587,True,0.011387163561076604,0.10610134809280178,success,cons
schedul,-14.177343888553176,-0.0008811281846680693,0.9992969615163367,True,0.5072463768115942,2.018406315182873,success,cons
scheme,-16.700396197080046,-2.339462863095078e-05,0.9999813337870114,True,0.005175983436853002,0.07175787505434109,success,cons
scholarship,-10.053481763108033,-1.2839402999105256e-06,0.9999989755638578,False,0.0010351966873706005,0.03215781483852809,not_converged,cons
school,-15.772322714119554,-0.0009903710292942518,0.9992097983754359,True,0.19047619047619047,0.5469209701316567,success,cons
scienc,-0.7925185834839126,-1.9000425630486313e-06,0.999998483985374,True,0.002070393374741201,0.06431562967705617,success,cons
scold,-17.037742093003807,-4.133916453258622e-05,0.9999670161188724,True,0.015527950310559006,0.13938299687979958,success,cons
scope,-16.415579412201446,-3.416405860655582e-05,0.9999727410251088,True,0.031055900621118012,0.1958902885716749,success,cons
score,-16.771266863281863,-8.832923876293813e-05,0.9999295234642153,True,0.026915113871635612,0.18000519615037813,success,cons
scratch,-17.21696042549081,-2.8537201166739934e-05,0.9999772306077837,True,0.007246376811594203,0.08481666601970744,success,cons
scream,-14.8550077166996,-5.181605054740557e-05,0.999958656773285,True,0.032091097308488616,0.22292330330115007,success,cons
screen,-17.15376609877285,-7.723029000814356e-05,0.9999383791440374,True,0.019668737060041408,0.14612416370075676,success,cons
screw,-10.29754495405147,-0.0007329873940194616,0.9994151607274182,True,0.033126293995859216,0.22963640040152852,success,cons
