title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url,pros_raw,pros_cleaned,cons_raw,cons_cleaned,title_raw,title_cleaned
"Amazing Company, Amazing Culture",5.0,2025-04-21,Ability to be creative and drive change. Upper management is open to ideas to make the company better & encourages such.,"Some of the work can be intense. The cycles can be tough. Like long nights & weekends. But this is typically short bursts and things always settle, and time off to recover is encouraged.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Ability to be creative and drive change. Upper management is open to ideas to make the company better & encourages such.,abil creativ drive upper manag open idea better encourag,"Some of the work can be intense. The cycles can be tough. Like long nights & weekends. But this is typically short bursts and things always settle, and time off to recover is encouraged.",cycl long night typic short burst thing alway recov,"Amazing Company, Amazing Culture",amaz amaz cultur
Fantastic Company!,5.0,2025-04-21,Executive management is very proactive on being transparent to everyone on a frequent basis.,istent branding and processes across all regions and groups considering we are a global company. Offers great work and life balance and terrific office amenities.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Executive management is very proactive on being transparent to everyone on a frequent basis.,execut manag proactiv transpar everyon frequent,istent branding and processes across all regions and groups considering we are a global company. Offers great work and life balance and terrific office amenities.,istent brand process across region group consid global offer great life balanc terrif offic,Fantastic Company!,fantast
Great Company with Great Culture,5.0,2025-04-21,"Growth company that is geographically diverse with many opportunities for career growth. Likes to promote from within. Employee culture is fantastic, with the team being the focus. Good compensation and support from the company.","Fast paced, even in the ""slow"" times, workloads can be overwhelming.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Growth company that is geographically diverse with many opportunities for career growth. Likes to promote from within. Employee culture is fantastic, with the team being the focus. Good compensation and support from the company.",growth geograph divers mani opportun career like promot cultur team good compens support,"Fast paced, even in the ""slow"" times, workloads can be overwhelming.",fast even slow workload,Great Company with Great Culture,great great cultur
Great place to work,5.0,2025-04-21,"- visionary leadership - growth industry - incredible bench strength - innovative - small employee base for a company of this size - steady, seasoned leaders - willingness to take chances - focus on hiring the best talent","- because many employees stay at the company so long, promotion opportunities can be limited","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"- visionary leadership - growth industry - incredible bench strength - innovative - small employee base for a company of this size - steady, seasoned leaders - willingness to take chances - focus on hiring the best talent",visionari leadership growth industri incred bench strength innov small base size season leader willing take chanc focu hire best talent,"- because many employees stay at the company so long, promotion opportunities can be limited",mani employe stay promot opportun limit,Great place to work,great place
Excellent Company with Top-of-the-Line Culture and People!,5.0,2025-04-28,"Prologis provides us with consistent support, positive interactive feedback and industry leading opportunities for growth. The Life / Work balance is phenomenal. We all benefit from unmatched flexibility which translates into a very productive environment. Teamwork is awesome, so many fantastic people working together. Mentorship opportunities build our talent and benefit us as employees and our company.","There can always be improvement no matter how good we are. Communication is key to providing answers for any challenges that we face. If anything, I feel that we could be even more open to searching out positive solutions to our pain points and quickly initiating those changes.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis provides us with consistent support, positive interactive feedback and industry leading opportunities for growth. The Life / Work balance is phenomenal. We all benefit from unmatched flexibility which translates into a very productive environment. Teamwork is awesome, so many fantastic people working together. Mentorship opportunities build our talent and benefit us as employees and our company.",prolog provid us consist posit interact feedback industri lead opportun life balanc benefit unmatch flexibl translat product teamwork mani fantast mentorship opportun build talent benefit us employe,"There can always be improvement no matter how good we are. Communication is key to providing answers for any challenges that we face. If anything, I feel that we could be even more open to searching out positive solutions to our pain points and quickly initiating those changes.",alway improv matter good commun key provid answer challeng feel even open search posit solut pain point quickli initi,Excellent Company with Top-of-the-Line Culture and People!,excel top line cultur
The best place I've worked,5.0,2025-05-02,You get to work with some of the smartest and best people in the industry who focus on innovation and results but also care about you. It's rare to find a company that genuinely cares about doing the right thing as much as it cares about being successful. Prologis is the best place I've ever worked.,Prologis runs lean and is a flat organization so rapid upward mobility is not always an option.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,You get to work with some of the smartest and best people in the industry who focus on innovation and results but also care about you. It's rare to find a company that genuinely cares about doing the right thing as much as it cares about being successful. Prologis is the best place I've ever worked.,smartest best industri focu innov result care rare find genuin care right thing much care prolog best place ever,Prologis runs lean and is a flat organization so rapid upward mobility is not always an option.,prolog run lean flat organ rapid upward mobil alway,The best place I've worked,best place work
Great stable company,5.0,2025-05-07,The stability of Prologis is one small piece of what makes this a great place to work.,"Very few cons, has great benefits.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,The stability of Prologis is one small piece of what makes this a great place to work.,stabil prolog small piec make great place,"Very few cons, has great benefits.",great,Great stable company,great stabl
Real Culture. Amazing People.,5.0,2025-05-23,"The culture here is truly special. People are kind, authentic, and genuinely invested in one another’s success. It's not uncommon to meet colleagues who’ve been here for 5, 10, even 15+ years—something that feels almost unheard of these days. That kind of longevity speaks to how much people care about the work and each other. Access to leadership is another standout—our C-suite is approachable, down to earth, and easy to talk to. It’s a highly collaborative environment where integrity and doing what’s right (especially for the planet) are more than just stated values—they’re part of the day-to-day decision-making.","Like any fast-moving company, things can change quickly, and sometimes communication doesn’t always keep pace. Cross-functional alignment can occasionally be a challenge as teams navigate shifting priorities. Also, because so many people stay here long term, career movement can feel slower unless you actively seek out new opportunities or advocate for your own growth.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"The culture here is truly special. People are kind, authentic, and genuinely invested in one another’s success. It's not uncommon to meet colleagues who’ve been here for 5, 10, even 15+ years—something that feels almost unheard of these days. That kind of longevity speaks to how much people care about the work and each other. Access to leadership is another standout—our C-suite is approachable, down to earth, and easy to talk to. It’s a highly collaborative environment where integrity and doing what’s right (especially for the planet) are more than just stated values—they’re part of the day-to-day decision-making.",cultur truli genuin invest anoth uncommon meet colleagu even year someth feel almost unheard kind longev speak much care access leadership anoth standout suit easi talk highli collabor environ integr right especi planet state valu part day day decis,"Like any fast-moving company, things can change quickly, and sometimes communication doesn’t always keep pace. Cross-functional alignment can occasionally be a challenge as teams navigate shifting priorities. Also, because so many people stay here long term, career movement can feel slower unless you actively seek out new opportunities or advocate for your own growth.",fast move thing chang sometim commun alway keep cross function align occasion challeng team navig shift mani stay long career movement feel slower unless activ seek new opportun advoc,Real Culture. Amazing People.,real amaz
Purpose-Driven Company That Invests in People and Culture,5.0,2025-05-23,Strong leadership and transparent communication Supportive and inclusive work culture Commitment to sustainability and community impact Generous benefits and wellness resources Growth opportunities and mentorship programs,"Honestly, very few. Like any fast-paced company, priorities can shift quickly—but it's part of what keeps the work exciting. If you're looking for a place where you can grow, make a difference, and work with incredible people, Prologis is it.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Strong leadership and transparent communication Supportive and inclusive work culture Commitment to sustainability and community impact Generous benefits and wellness resources Growth opportunities and mentorship programs,strong leadership transpar commun support inclus cultur commit sustain commun impact gener benefit well resourc growth opportun mentorship program,"Honestly, very few. Like any fast-paced company, priorities can shift quickly—but it's part of what keeps the work exciting. If you're looking for a place where you can grow, make a difference, and work with incredible people, Prologis is it.",fast pace prioriti shift quickli part keep look place incred prolog,Purpose-Driven Company That Invests in People and Culture,purpos driven invest cultur
People-First Company with a Genuine Culture,5.0,2025-05-23,"Well rounded benefits package, generous PTO, and other employee perks that support overall well-being. Strong leadership – executives are approachable, communicative, and genuinely invested in employee success. Friendly, collaborative employees – coworkers are supportive and foster a team-oriented environment.","Work can be fast-paced and occasionally stressful, especially during peak periods or when juggling multiple priorities.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Well rounded benefits package, generous PTO, and other employee perks that support overall well-being. Strong leadership – executives are approachable, communicative, and genuinely invested in employee success. Friendly, collaborative employees – coworkers are supportive and foster a team-oriented environment.",well round benefit gener perk support overal well strong leadership execut genuin invest collabor employe cowork support foster team orient,"Work can be fast-paced and occasionally stressful, especially during peak periods or when juggling multiple priorities.",fast pace occasion especi peak period juggl multipl,People-First Company with a Genuine Culture,first genuin cultur
