title,rating,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url,pros_raw,pros_cleaned,cons_raw,cons_cleaned,title_raw,title_cleaned
"Great company for agile, hard-workers",5.0,2023-08-01,"Prologis is truly a world-class organization. The CEO and Founder, Hamid is a industry visionary, helping Prologis to become the global leader in industrial real estate. He leads with a confidence and thoughtfulness that inspires. On a more micro level, the individual support is excellent. The office community is friendly and helpful, with an excellent balance of hard work and fun. If you are a strong, hard-working person, you will succeed here. Folks who are not naturally driven would likely struggle.","Development work can be stressful, but that's an industry issue, not a company issue. The company is strongly focused on innovation. However, we tend to roll out initiatives before they're thoroughly tested. Instead of adopting feedback readily, it can be a painful process to provide feedback on a failed initiative during launch with leadership requesting that you ""prove your case"" instead of taking more formal note of feedback during early launch or testing. Too many of these processes add work without value and tasks to an already complicated workday.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis is truly a world-class organization. The CEO and Founder, Hamid is a industry visionary, helping Prologis to become the global leader in industrial real estate. He leads with a confidence and thoughtfulness that inspires. On a more micro level, the individual support is excellent. The office community is friendly and helpful, with an excellent balance of hard work and fun. If you are a strong, hard-working person, you will succeed here. Folks who are not naturally driven would likely struggle.",prolog truli world class ceo hamid industri help prolog becom global leader industri real lead confid thought micro individu support offic commun friendli excel balanc hard hard succeed folk natur driven like,"Development work can be stressful, but that's an industry issue, not a company issue. The company is strongly focused on innovation. However, we tend to roll out initiatives before they're thoroughly tested. Instead of adopting feedback readily, it can be a painful process to provide feedback on a failed initiative during launch with leadership requesting that you ""prove your case"" instead of taking more formal note of feedback during early launch or testing. Too many of these processes add work without value and tasks to an already complicated workday.",develop industri strongli focus tend roll initi thoroughli instead adopt feedback pain process provid feedback fail initi launch leadership request prove case instead take formal note feedback earli launch mani process add without valu task alreadi complic,"Great company for agile, hard-workers",great hard worker
An Exceptional Workplace Where Excellence Thrives,5.0,2023-09-21,Diverse and dynamic work environment. Opportunities for skill development. Supportive and collaborative team. Varied daily challenges and tasks. Strong company culture and values.,Demanding workload and multitasking. Repetitive tasks at times. Stressful deadline-driven responsibilities. Occasional long working hours. Limited opportunities for creativity.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Diverse and dynamic work environment. Opportunities for skill development. Supportive and collaborative team. Varied daily challenges and tasks. Strong company culture and values.,divers dynam opportun skill support collabor vari daili challeng strong cultur,Demanding workload and multitasking. Repetitive tasks at times. Stressful deadline-driven responsibilities. Occasional long working hours. Limited opportunities for creativity.,demand workload repetit task stress deadlin driven occasion long limit opportun,An Exceptional Workplace Where Excellence Thrives,except workplac excel thrive
Amazing place to work!!!!,5.0,2024-03-25,"The culture is collaborative, innovative and supportive. Leadership is so amazing; they are dedicated to your success. They are so approachable and really take time to listen. They take feedback and react to it quickly. They are dedicated to their sustainability goals and their community involvement. They encourage a healthy work/life balance. They have a great mentor program for anyone that wants to grow professionally or personally.",I currently can't think of any cons.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"The culture is collaborative, innovative and supportive. Leadership is so amazing; they are dedicated to your success. They are so approachable and really take time to listen. They take feedback and react to it quickly. They are dedicated to their sustainability goals and their community involvement. They encourage a healthy work/life balance. They have a great mentor program for anyone that wants to grow professionally or personally.",cultur innov leadership amaz dedic approach realli take take feedback react dedic sustain goal commun encourag healthi life great mentor program anyon want grow profession,I currently can't think of any cons.,current think,Amazing place to work!!!!,amaz place
A job,3.0,2024-08-26,You get paid on time,The company is full of people who don't know how to do their jobs.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,You get paid on time,paid,The company is full of people who don't know how to do their jobs.,full know,A job,
"Superb culture, inspiring leaders and great benefits",5.0,2024-08-28,"Prologis company culture is truly outstanding. People are hardworking, respect your work-life balance, encourage learning, welcome questions and much more. From Day 1, the people at Prologis made me feel like a part of the team. The company also offers competitive salary and great benefits.","It is really hard for me to think of a con of working at Prologis. If I had to pick something, it (at this point in my first year with the company) could only be a meager complaint that the office is too cold.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis company culture is truly outstanding. People are hardworking, respect your work-life balance, encourage learning, welcome questions and much more. From Day 1, the people at Prologis made me feel like a part of the team. The company also offers competitive salary and great benefits.",prolog cultur truli respect life encourag welcom question much day prolog made feel part offer competit salari great,"It is really hard for me to think of a con of working at Prologis. If I had to pick something, it (at this point in my first year with the company) could only be a meager complaint that the office is too cold.",realli hard think con pick point first year meager complaint offic,"Superb culture, inspiring leaders and great benefits",superb inspir leader great benefit
Ahead of the pack,5.0,2024-09-04,"The C-level leadership, including our CEO, CTO, CFO, CLO, and President, are visionary and supportive, cultivating a culture of excellence. As a founder-owned and managed company, Prologis remains deeply aligned with its core values. There is also a strong culture of giving back to our communities, which adds to the sense of purpose and fulfillment. As a global leader in real estate, Prologis is at the forefront of technology, making it an exciting place to work and grow. Highly recommend!","Prologis is a Fortune 100 company with 2,500+ employees, so to thrive here, you need to be dedicated and think like a service owner. The environment is fast-paced and demanding, which can be challenging if you’re not ready to take ownership and drive results.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"The C-level leadership, including our CEO, CTO, CFO, CLO, and President, are visionary and supportive, cultivating a culture of excellence. As a founder-owned and managed company, Prologis remains deeply aligned with its core values. There is also a strong culture of giving back to our communities, which adds to the sense of purpose and fulfillment. As a global leader in real estate, Prologis is at the forefront of technology, making it an exciting place to work and grow. Highly recommend!",level includ visionari cultiv cultur founder own manag prolog remain deepli align core strong cultur give back add sens purpos global leader real prolog forefront make excit place highli,"Prologis is a Fortune 100 company with 2,500+ employees, so to thrive here, you need to be dedicated and think like a service owner. The environment is fast-paced and demanding, which can be challenging if you’re not ready to take ownership and drive results.",prolog fortun thrive need dedic think servic environ fast pace challeng readi take ownership drive,Ahead of the pack,ahead pack
"Great place to work, awesome culture, and innovative company",5.0,2024-09-04,"Prologis is a great place to work and leader in the industry. Our leadership team drives a thriving, focused culture to perform and meet / exceed market expectations","As with any company, remote and spread out working makes community harder but Prologis seeks to pull together virtually as best possible with initiatives like our IMPACT days.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis is a great place to work and leader in the industry. Our leadership team drives a thriving, focused culture to perform and meet / exceed market expectations",prolog great place leader leadership team drive focus cultur perform meet exceed market expect,"As with any company, remote and spread out working makes community harder but Prologis seeks to pull together virtually as best possible with initiatives like our IMPACT days.",remot spread make commun harder prolog seek pull togeth virtual best possibl initi impact,"Great place to work, awesome culture, and innovative company",great place awesom innov
Takes great care of employees,5.0,2024-09-05,"Lots of perks including great benefits, team building events, culture, etc","Since it is a global company, policies sometimes seem politically driven","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Lots of perks including great benefits, team building events, culture, etc",lot perk includ great team build etc,"Since it is a global company, policies sometimes seem politically driven",sinc global polici sometim seem polit driven,Takes great care of employees,take great care employe
"Great company, people and culture",5.0,2024-09-06,* Work is interesting and makes an impact on the world * People are great * Leadership is accessible and engaged * Strong culture * World-class offices,"Work/life balance can be a challenge but given the pace of our world and how technology has blurred the lines between work and home, I think this is the case for most corp jobs. The modern way of working means it can be tough to unplug and keep the work moving forward.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,* Work is interesting and makes an impact on the world * People are great * Leadership is accessible and engaged * Strong culture * World-class offices,interest make impact world great leadership access engag strong cultur world class offic,"Work/life balance can be a challenge but given the pace of our world and how technology has blurred the lines between work and home, I think this is the case for most corp jobs. The modern way of working means it can be tough to unplug and keep the work moving forward.",life balanc challeng given pace world technolog blur line think case corp modern way mean tough unplug keep move,"Great company, people and culture",great cultur
Great Place to Work,5.0,2024-09-09,"Great people and culture, willingness to invest in innovation/new ideas, and strong focus on sustainability.",Relatively small workforce size can mean slower career progression in some functions.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Great people and culture, willingness to invest in innovation/new ideas, and strong focus on sustainability.",great willing invest innov new strong focu,Relatively small workforce size can mean slower career progression in some functions.,rel small workforc size mean slower career progress,Great Place to Work,great place
Always something new to get involved in and be at the forefront of,5.0,2024-09-11,"Prologis offers a dynamic and inclusive work environment where innovation and collaboration are at the forefront of everything we do. The company provides ample opportunities for growth in and above your role, with a strong focus on professional development and career advancement. With a commitment to sustainability, community engagement, and employee well-being, Prologis fosters a culture that values both individual contributions and teamwork. There is a strong emphasis during the interview process on identifying candidates that make a good team and cultural fit to ensure collegiality and longevity of employment with the company - this is evident in how many people you speak with have been with the company 5, 10, 20 years. The company’s global reach and dedication to industry leadership make it an exciting place to build an impactful career and be at the forefront of a fast growing industry.",Workload can sometimes be very overwhelming,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis offers a dynamic and inclusive work environment where innovation and collaboration are at the forefront of everything we do. The company provides ample opportunities for growth in and above your role, with a strong focus on professional development and career advancement. With a commitment to sustainability, community engagement, and employee well-being, Prologis fosters a culture that values both individual contributions and teamwork. There is a strong emphasis during the interview process on identifying candidates that make a good team and cultural fit to ensure collegiality and longevity of employment with the company - this is evident in how many people you speak with have been with the company 5, 10, 20 years. The company’s global reach and dedication to industry leadership make it an exciting place to build an impactful career and be at the forefront of a fast growing industry.",prolog offer dynam inclus environ innov collabor forefront everyth provid ampl opportun growth strong focu profession develop career commit commun well prolog foster cultur valu individu contribut strong emphasi interview process identifi candid good team cultur fit ensur collegi longev employ evid mani speak global reach dedic industri leadership excit place build impact career forefront fast grow,Workload can sometimes be very overwhelming,workload sometim overwhelm,Always something new to get involved in and be at the forefront of,alway someth new involv forefront
Fun Real Estate Company,5.0,2024-09-11,Prologis takes care of its employees first and that goes a long way in so many ways.,You will worry on having a boring time at work because you won't have any.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Prologis takes care of its employees first and that goes a long way in so many ways.,prolog take care employe first goe long way mani,You will worry on having a boring time at work because you won't have any.,worri bore,Fun Real Estate Company,fun real estat
Nearly three years in,5.0,2024-09-11,- GREAT people - non-hierarchal mindset - interesting work - compensation / benefits - room to grow and move up,"Company is growing fast. Hope the inclusive, collaborative and supportive environment remains intact","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,- GREAT people - non-hierarchal mindset - interesting work - compensation / benefits - room to grow and move up,great non hierarch mindset interest compens benefit room grow move,"Company is growing fast. Hope the inclusive, collaborative and supportive environment remains intact",grow hope collabor support environ remain intact,Nearly three years in,nearli three year
Committed to excellence,4.0,2024-09-11,Strong commitment to walking the walk and being the best in class,Organizations can be a little silo'd with similar functions doing things differently,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Strong commitment to walking the walk and being the best in class,strong commit walk walk best class,Organizations can be a little silo'd with similar functions doing things differently,organ littl silo similar function thing differ,Committed to excellence,commit excel
A company that I admire and appreciate and colleagues I enjoy working with,5.0,2024-09-12,"Generally a pretty progressive and innovative workplace that is always trying to make itself better. Diversity in thought and employee base. At the heart of it, you can tell they care about the employees and culture. A focus on community service and environmental impact. A lot of direct communication from the top leaders which makes them feel more accessible. Wonderful colleagues to work with.",There can be limited job mobility options depending on your goals. An innovation focus sometimes leads to a lot of initiatives.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Generally a pretty progressive and innovative workplace that is always trying to make itself better. Diversity in thought and employee base. At the heart of it, you can tell they care about the employees and culture. A focus on community service and environmental impact. A lot of direct communication from the top leaders which makes them feel more accessible. Wonderful colleagues to work with.",gener pretti progress innov workplac alway tri divers thought heart tell care employe focu commun servic environment lot direct commun top leader make feel wonder colleagu,There can be limited job mobility options depending on your goals. An innovation focus sometimes leads to a lot of initiatives.,limit mobil option depend innov focu sometim lead lot,A company that I admire and appreciate and colleagues I enjoy working with,admir appreci colleagu enjoy
Excellent Company,5.0,2024-09-12,"Prologis provides employees with resources and trust to succeed. The people at Prologis are intelligent, approachable, and professional. Everyone cares about doing the right thing and has a competitive spirit for success.",The performance rating scale can be difficult to understand.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis provides employees with resources and trust to succeed. The people at Prologis are intelligent, approachable, and professional. Everyone cares about doing the right thing and has a competitive spirit for success.",prolog provid employe resourc trust prolog everyon care right thing competit spirit,The performance rating scale can be difficult to understand.,perform scale difficult,Excellent Company,excel
THE BEST PLACE TO WORK..,5.0,2024-09-13,"Prologis is more than just a workplace; it feels like going to your own office, where your voice and opinions truly matter. As a global leader in logistics real estate, Prologis fosters a culture of innovation, diversity, and inclusion, ensuring that everyone can contribute meaningfully. The company’s commitment to sustainability and community involvement allows employees to make a positive impact. With strong career growth opportunities, a supportive environment, and a focus on work-life balance, Prologis is a place where you can bring your true self and thrive both personally and professionally.","If you work at Prologis, you'll be so spoiled, no other company will ever measure up! You'll wonder how you ever settled for anything less. 😄","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis is more than just a workplace; it feels like going to your own office, where your voice and opinions truly matter. As a global leader in logistics real estate, Prologis fosters a culture of innovation, diversity, and inclusion, ensuring that everyone can contribute meaningfully. The company’s commitment to sustainability and community involvement allows employees to make a positive impact. With strong career growth opportunities, a supportive environment, and a focus on work-life balance, Prologis is a place where you can bring your true self and thrive both personally and professionally.",prolog workplac feel go voic opinion truli global leader logist real prolog foster cultur ensur everyon contribut commit sustain commun involv allow employe posit strong career growth support focu life prolog place bring true self thrive person,"If you work at Prologis, you'll be so spoiled, no other company will ever measure up! You'll wonder how you ever settled for anything less. 😄",ever measur wonder ever settl anyth,THE BEST PLACE TO WORK..,best place
A company to grow with,5.0,2024-09-13,"- working with colleagues who really feel like a second family - lots of opportunity to learn and grow within the company. There are people in this organization who are 10+, 15+ and even 20+ years here; they are a wealth of knowledge - Prologis embraces change and innovatoin - constantly adapting and trying new things before others in the industry. - Fun, diverse environment where I feel comfortable to voice my opinion and thoughts at any level and know I will be heard. - No day is the same - promotes a work-life balance with PTO and 3 summer 1/2 days. -encourages volunteer work and Prologis Impact Day","- the work ebbs and flows, some days do feel heavier.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"- working with colleagues who really feel like a second family - lots of opportunity to learn and grow within the company. There are people in this organization who are 10+, 15+ and even 20+ years here; they are a wealth of knowledge - Prologis embraces change and innovatoin - constantly adapting and trying new things before others in the industry. - Fun, diverse environment where I feel comfortable to voice my opinion and thoughts at any level and know I will be heard. - No day is the same - promotes a work-life balance with PTO and 3 summer 1/2 days. -encourages volunteer work and Prologis Impact Day",colleagu realli feel second famili lot opportun learn grow within organ even year wealth knowledg prolog embrac chang innovatoin constantli adapt tri new thing other divers environ feel comfort voic opinion thought level know day promot life balanc pto summer encourag volunt prolog impact day,"- the work ebbs and flows, some days do feel heavier.",ebb day feel,A company to grow with,grow
One of the Best Companies I've Ever Worked For,5.0,2024-09-13,"#1 is the culture at Prologis. People are kind and generally trying their best. We work hard but we pause to have fun. I also love that each region has their own sub-culture that makes it fun to visit, learn, and collaborate. Leadership has a vision for the company and genuinely cares about its people. The company is headed in the right direction. Some of the newer departments are still in startup mode figuring things out and can be messier, but there are a lot of things to be excited about and customers are overall happy with the products/services offered. Prologis is a company that practices what it preaches. We actually, seriously, care about ESG and reducing our impact on the environment, compared to other places I've been where it looks more like greenwashing. I feel well compensated for my work, and for the most part my work/life balance is fantastic. It helps that we get lots of vacation time (that I actually feel comfortable taking) and even a few days off per year to volunteer.","I would love to see more diversity in exec leadership roles (women, POC, and age) for fresh perspective. But I will say this has improved even in the few years that I've been here, and DEI is a newer group that has been established. As a global company, we have the challenge of communicating across geographies, time zones, and languages. We do a better job than even some smaller companies I've worked for, but still have some room to improve here.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"#1 is the culture at Prologis. People are kind and generally trying their best. We work hard but we pause to have fun. I also love that each region has their own sub-culture that makes it fun to visit, learn, and collaborate. Leadership has a vision for the company and genuinely cares about its people. The company is headed in the right direction. Some of the newer departments are still in startup mode figuring things out and can be messier, but there are a lot of things to be excited about and customers are overall happy with the products/services offered. Prologis is a company that practices what it preaches. We actually, seriously, care about ESG and reducing our impact on the environment, compared to other places I've been where it looks more like greenwashing. I feel well compensated for my work, and for the most part my work/life balance is fantastic. It helps that we get lots of vacation time (that I actually feel comfortable taking) and even a few days off per year to volunteer.",cultur kind gener tri hard paus love region sub cultur make fun leadership vision genuin care head right newer depart still startup mode figur thing lot thing excit custom overal happi product servic prolog practic care esg reduc impact compar place look feel well compens part life balanc help lot vacat actual feel comfort take even day per year,"I would love to see more diversity in exec leadership roles (women, POC, and age) for fresh perspective. But I will say this has improved even in the few years that I've been here, and DEI is a newer group that has been established. As a global company, we have the challenge of communicating across geographies, time zones, and languages. We do a better job than even some smaller companies I've worked for, but still have some room to improve here.",love see divers exec leadership role age fresh say improv even year dei newer group global challeng commun across better even smaller compani work still room improv,One of the Best Companies I've Ever Worked For,best compani ever work
Yes- It really is one of the best places to work,5.0,2024-09-13,"The people are great to work with and have genuine engagement and are excited to be at work. It seems like a smaller company, as an employee you feel like your wellbeing is a priority.","There are times when the work life balance can be off, but that's not a consistent event, but has to do with the inevitability of uneven workload over the course of the year.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"The people are great to work with and have genuine engagement and are excited to be at work. It seems like a smaller company, as an employee you feel like your wellbeing is a priority.",great genuin engag excit seem smaller feel wellb,"There are times when the work life balance can be off, but that's not a consistent event, but has to do with the inevitability of uneven workload over the course of the year.",time life balanc consist inevit uneven workload cours,Yes- It really is one of the best places to work,ye realli best place
Career at Prologis,5.0,2024-09-16,"Some say its old fashioned to spend your career at one company but my 23+ years at Prologis has been rewarding in so many ways. I've had work life balance raising a family, my colleagues are life long friends, my bosses encourage me and my company supports me and gives me opportunities and training whenever I lean in for more. I especially appreciate the company's culture of giving back with time and funds supporting education, environment and community support which is important to me personally. The company has a global day of service (IMPACT Day) where all employees around the world volunteer on the same day, + gives employees 32 hours a year to volunteer, + Matching Gifts, + Dollars 4 Doers program. You can never go wrong spending a career that fulfills you both professionally and personally at one company if it's a company like Prologis.","Prologis is always striving to be Ahead of What's Next so staying on top of your game, learning, growing and contributing in a big way can be a challenge and rewarding.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Some say its old fashioned to spend your career at one company but my 23+ years at Prologis has been rewarding in so many ways. I've had work life balance raising a family, my colleagues are life long friends, my bosses encourage me and my company supports me and gives me opportunities and training whenever I lean in for more. I especially appreciate the company's culture of giving back with time and funds supporting education, environment and community support which is important to me personally. The company has a global day of service (IMPACT Day) where all employees around the world volunteer on the same day, + gives employees 32 hours a year to volunteer, + Matching Gifts, + Dollars 4 Doers program. You can never go wrong spending a career that fulfills you both professionally and personally at one company if it's a company like Prologis.",say old fashion spend career year prolog reward mani life balanc rais colleagu life long boss encourag support give opportun train whenev lean especi appreci cultur give back fund support environ commun support import global day servic impact day employe around world volunt give employe hour year match dollar doer never go wrong spend career fulfil profession person,"Prologis is always striving to be Ahead of What's Next so staying on top of your game, learning, growing and contributing in a big way can be a challenge and rewarding.",prolog alway strive ahead next stay top grow contribut big way challeng,Career at Prologis,career prolog
Growth Opportunities and Supportive Leadership,5.0,2024-09-16,"The company offers great opportunities for personal and professional growth. Leadership is very supportive, open to feedback, and encourages an environment where we feel valued and heard. The collaborative culture and teamwork make it a positive place to work.","Like many roles, the workload can sometimes become demanding, especially during busy periods. Meeting tight deadlines can be stressful at times, but with a supportive leadership team, these challenges are manageable. Improving certain internal processes could help alleviate some of the pressure.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"The company offers great opportunities for personal and professional growth. Leadership is very supportive, open to feedback, and encourages an environment where we feel valued and heard. The collaborative culture and teamwork make it a positive place to work.",offer great opportun person profession leadership open encourag environ feel valu collabor cultur teamwork posit place,"Like many roles, the workload can sometimes become demanding, especially during busy periods. Meeting tight deadlines can be stressful at times, but with a supportive leadership team, these challenges are manageable. Improving certain internal processes could help alleviate some of the pressure.",mani workload sometim becom especi busi meet tight deadlin stress support leadership challeng improv certain intern process help allevi,Growth Opportunities and Supportive Leadership,growth opportun support leadership
"Great culture, secret gem",5.0,2024-09-16,"The people are truly, genuinely great. Leadership is open to criticism, willing to change. Big ambitions in sustainability / reducing carbon footprint at scale. Real goals around equal pay, diversity and inclusion. Proactive, hard-working people.",Very fast-paced company. Some parts of the business are still very old school (it's real estate). Technology needs an upgrade -- employees have way too many disconnected tools and platforms.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"The people are truly, genuinely great. Leadership is open to criticism, willing to change. Big ambitions in sustainability / reducing carbon footprint at scale. Real goals around equal pay, diversity and inclusion. Proactive, hard-working people.",genuin leadership open will big ambit sustain reduc carbon footprint real goal around equal divers hard,Very fast-paced company. Some parts of the business are still very old school (it's real estate). Technology needs an upgrade -- employees have way too many disconnected tools and platforms.,fast pace part busi still old school real estat technolog need upgrad employe way mani disconnect tool,"Great culture, secret gem",great secret gem
Collaborative. Inventive. Empowered. Global. Customer Driven.,5.0,2024-09-17,"10 Years at Prologis! Over that time, we have more than doubled in size of our real estate portfolio, we've expanded into multiple new business lines, we've set the most ambitious net zero climate goals in the industry. I love how this company continues to evolve its strategy to meet our customers end goals. Personally, my career has taken many step changes over the decade, expanding from a local market role to a global one with more engaging and strategic customer face time. Prologis is a place for a career, not just a job. World class organization and team!","Demanding work environment! Great culture, but the expectation is for teammates is to roll up their sleeves, work hard and show passion. Not a great fit for people looking to coast.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"10 Years at Prologis! Over that time, we have more than doubled in size of our real estate portfolio, we've expanded into multiple new business lines, we've set the most ambitious net zero climate goals in the industry. I love how this company continues to evolve its strategy to meet our customers end goals. Personally, my career has taken many step changes over the decade, expanding from a local market role to a global one with more engaging and strategic customer face time. Prologis is a place for a career, not just a job. World class organization and team!",year doubl size real estat expand multipl new busi set ambiti net zero climat goal love continu evolv strategi meet custom end career taken mani step chang expand local market role global engag strateg custom face prolog place world class organ,"Demanding work environment! Great culture, but the expectation is for teammates is to roll up their sleeves, work hard and show passion. Not a great fit for people looking to coast.",demand great expect teammat roll hard show great fit look,Collaborative. Inventive. Empowered. Global. Customer Driven.,custom
The best people = a great company!,4.0,2024-09-17,"Top notch people, excellent leadership and industry leading business practices.",I dont really see cons for working at Prologis. Its a great company to work for!,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Top notch people, excellent leadership and industry leading business practices.",top notch excel leadership industri lead busi,I dont really see cons for working at Prologis. Its a great company to work for!,dont realli see con great,The best people = a great company!,best great
"Strong culture, great people",5.0,2024-09-22,Strong company culture. Very talented and dedicated people who are great to work with.,Work life balance is tough at times but not always.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Strong company culture. Very talented and dedicated people who are great to work with.,strong talent dedic great,Work life balance is tough at times but not always.,life balanc tough time,"Strong culture, great people",strong great
Why I Chose Prologis,5.0,2024-10-04,"Prologis remains the best employer I have worked for. I started as temp nearly 12 years ago and within my first week I decided that I wanted to work for and retire from this company. Luckily they wanted me as much as I wanted them. The culture, values and commitment to excellence were evident then and continue to be so today. The sense of pride I continue to feel in our shared values - integrity, mentorship, passion, accountability, courage and teamwork - is why I stay. It is a rare opportunity to find a company that aligns so closely with one's personal values.",After 12 years of employment here the pros heavily outweigh the cons. The pace for professional advancement - especially on the operations side of our business is slow and often frustrating. Opportunities for promotions are not easy to come by.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis remains the best employer I have worked for. I started as temp nearly 12 years ago and within my first week I decided that I wanted to work for and retire from this company. Luckily they wanted me as much as I wanted them. The culture, values and commitment to excellence were evident then and continue to be so today. The sense of pride I continue to feel in our shared values - integrity, mentorship, passion, accountability, courage and teamwork - is why I stay. It is a rare opportunity to find a company that aligns so closely with one's personal values.",prolog remain best work start temp nearli year ago within first week decid want retir luckili want much want valu commit excel evid continu sens pride continu feel share valu courag teamwork rare opportun find align close person,After 12 years of employment here the pros heavily outweigh the cons. The pace for professional advancement - especially on the operations side of our business is slow and often frustrating. Opportunities for promotions are not easy to come by.,year employ pro heavili outweigh pace profession advanc especi oper side busi slow often opportun promot easi come,Why I Chose Prologis,chose prolog
