title,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url,pros_raw,pros_cleaned,cons_raw,cons_cleaned,title_raw,title_cleaned,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label,lm_positive_count,lm_negative_count,lm_net_score
The best place I've worked,2025-05-02,You get to work with some of the smartest and best people in the industry who focus on innovation and results but also care about you. It's rare to find a company that genuinely cares about doing the right thing as much as it cares about being successful. Prologis is the best place I've ever worked.,Prologis runs lean and is a flat organization so rapid upward mobility is not always an option.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,You get to work with some of the smartest and best people in the industry who focus on innovation and results but also care about you. It's rare to find a company that genuinely cares about doing the right thing as much as it cares about being successful. Prologis is the best place I've ever worked.,smartest best industri focu innov result care rare find genuin care right thing much care prolog best place ever,Prologis runs lean and is a flat organization so rapid upward mobility is not always an option.,prolog run lean flat organ rapid upward mobil alway,The best place I've worked,best place work,0.1470140665769577,0.01715218834578991,0.835833728313446,0.12986187636852264,neutral,0,0,0.0
"Great culture, vision, and values",2025-03-19,Leadership does an amazing job being ahead of the industry in vision and goals. Truly globally minded organization. Exciting place to work with ripe opportunities for those who are interested. Culture of openness and honest principles - not just corporate speak around fanciful ideologies.,"Hard work culture, driven by insistence of excellence, which is not necessarily a bad thing but could lead to burn out especially with resource constraints and headcount limits.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Leadership does an amazing job being ahead of the industry in vision and goals. Truly globally minded organization. Exciting place to work with ripe opportunities for those who are interested. Culture of openness and honest principles - not just corporate speak around fanciful ideologies.,leadership amaz ahead industri vision truli global mind excit place ripe opportun cultur open honest principl corpor speak around fanci,"Hard work culture, driven by insistence of excellence, which is not necessarily a bad thing but could lead to burn out especially with resource constraints and headcount limits.",hard driven insist necessarili bad thing lead burn especi resourc constraint headcount,"Great culture, vision, and values",great valu,0.21410933136940002,0.016794122755527496,0.7690966129302979,0.19731521606445312,neutral,0,0,0.0
Current Employee,2024-12-16,Great culture and benefits. Respectful and knowledgeable managers. Opportunities to further your career are available.,Collaboration between departments is necessary but needs to be improved. Company news communication,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Great culture and benefits. Respectful and knowledgeable managers. Opportunities to further your career are available.,great cultur respect knowledg opportun career,Collaboration between departments is necessary but needs to be improved. Company news communication,collabor depart necessari need news commun,Current Employee,current,0.23187947273254395,0.011111830361187458,0.7570087313652039,0.22076764702796936,neutral,0,0,0.0
Great Place to Work,2024-09-09,"Great people and culture, willingness to invest in innovation/new ideas, and strong focus on sustainability.",Relatively small workforce size can mean slower career progression in some functions.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Great people and culture, willingness to invest in innovation/new ideas, and strong focus on sustainability.",great willing invest innov new strong focu,Relatively small workforce size can mean slower career progression in some functions.,rel small workforc size mean slower career progress,Great Place to Work,great place,0.5747106075286865,0.013592894189059734,0.41169652342796326,0.5611177086830139,positive,1,0,0.14285714285714285
Great Place to Work,2025-06-10,"Challenging work, collaborative environment, flexibility, talented team with shared vision for success. Management values employees and encourages innovation and efficiency, keeping us Ahead of What's Next.",Relatively high stress and pressure at times.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Challenging work, collaborative environment, flexibility, talented team with shared vision for success. Management values employees and encourages innovation and efficiency, keeping us Ahead of What's Next.",challeng collabor talent team share vision manag valu employe encourag innov keep us ahead,Relatively high stress and pressure at times.,rel high stress pressur,Great Place to Work,great place,0.17241713404655457,0.014520238153636456,0.8130626678466797,0.15789689123630524,neutral,0,0,0.0
"Superb culture, inspiring leaders and great benefits",2024-08-28,"Prologis company culture is truly outstanding. People are hardworking, respect your work-life balance, encourage learning, welcome questions and much more. From Day 1, the people at Prologis made me feel like a part of the team. The company also offers competitive salary and great benefits.","It is really hard for me to think of a con of working at Prologis. If I had to pick something, it (at this point in my first year with the company) could only be a meager complaint that the office is too cold.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis company culture is truly outstanding. People are hardworking, respect your work-life balance, encourage learning, welcome questions and much more. From Day 1, the people at Prologis made me feel like a part of the team. The company also offers competitive salary and great benefits.",prolog cultur truli respect life encourag welcom question much day prolog made feel part offer competit salari great,"It is really hard for me to think of a con of working at Prologis. If I had to pick something, it (at this point in my first year with the company) could only be a meager complaint that the office is too cold.",realli hard think con pick point first year meager complaint offic,"Superb culture, inspiring leaders and great benefits",superb inspir leader great benefit,0.12710344791412354,0.019638892263174057,0.8532576560974121,0.10746455192565918,neutral,0,0,0.0
Real Culture. Amazing People.,2025-05-23,"The culture here is truly special. People are kind, authentic, and genuinely invested in one another’s success. It's not uncommon to meet colleagues who’ve been here for 5, 10, even 15+ years—something that feels almost unheard of these days. That kind of longevity speaks to how much people care about the work and each other. Access to leadership is another standout—our C-suite is approachable, down to earth, and easy to talk to. It’s a highly collaborative environment where integrity and doing what’s right (especially for the planet) are more than just stated values—they’re part of the day-to-day decision-making.","Like any fast-moving company, things can change quickly, and sometimes communication doesn’t always keep pace. Cross-functional alignment can occasionally be a challenge as teams navigate shifting priorities. Also, because so many people stay here long term, career movement can feel slower unless you actively seek out new opportunities or advocate for your own growth.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"The culture here is truly special. People are kind, authentic, and genuinely invested in one another’s success. It's not uncommon to meet colleagues who’ve been here for 5, 10, even 15+ years—something that feels almost unheard of these days. That kind of longevity speaks to how much people care about the work and each other. Access to leadership is another standout—our C-suite is approachable, down to earth, and easy to talk to. It’s a highly collaborative environment where integrity and doing what’s right (especially for the planet) are more than just stated values—they’re part of the day-to-day decision-making.",cultur truli genuin invest anoth uncommon meet colleagu even year someth feel almost unheard kind longev speak much care access leadership anoth standout suit easi talk highli collabor environ integr right especi planet state valu part day day decis,"Like any fast-moving company, things can change quickly, and sometimes communication doesn’t always keep pace. Cross-functional alignment can occasionally be a challenge as teams navigate shifting priorities. Also, because so many people stay here long term, career movement can feel slower unless you actively seek out new opportunities or advocate for your own growth.",fast move thing chang sometim commun alway keep cross function align occasion challeng team navig shift mani stay long career movement feel slower unless activ seek new opportun advoc,Real Culture. Amazing People.,real amaz,0.12180840969085693,0.03887050226330757,0.8393210768699646,0.08293791115283966,neutral,0,0,0.0
A solid place to grow,2025-06-13,"Prologis is a great company to gain valuable experience, grow professionally, and continuously learn. The organization is committed to innovation and operational efficiency, always seeking ways to improve. What truly stands out is the emphasis on aligning people with roles that play to their strengths, enabling both individual and team success.","The environment is fast-paced and constantly evolving, which can be challenging for those who prefer more stability or structure.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis is a great company to gain valuable experience, grow professionally, and continuously learn. The organization is committed to innovation and operational efficiency, always seeking ways to improve. What truly stands out is the emphasis on aligning people with roles that play to their strengths, enabling both individual and team success.",prolog great gain valuabl grow continu organ commit innov oper alway seek way truli stand emphasi align role play enabl individu team,"The environment is fast-paced and constantly evolving, which can be challenging for those who prefer more stability or structure.",environ fast pace constantli challeng prefer stabil,A solid place to grow,solid place grow,0.19166402518749237,0.01593760773539543,0.7923983931541443,0.17572641372680664,neutral,1,0,0.045454545454545456
One of the Best Companies I've Ever Worked For,2024-09-13,"#1 is the culture at Prologis. People are kind and generally trying their best. We work hard but we pause to have fun. I also love that each region has their own sub-culture that makes it fun to visit, learn, and collaborate. Leadership has a vision for the company and genuinely cares about its people. The company is headed in the right direction. Some of the newer departments are still in startup mode figuring things out and can be messier, but there are a lot of things to be excited about and customers are overall happy with the products/services offered. Prologis is a company that practices what it preaches. We actually, seriously, care about ESG and reducing our impact on the environment, compared to other places I've been where it looks more like greenwashing. I feel well compensated for my work, and for the most part my work/life balance is fantastic. It helps that we get lots of vacation time (that I actually feel comfortable taking) and even a few days off per year to volunteer.","I would love to see more diversity in exec leadership roles (women, POC, and age) for fresh perspective. But I will say this has improved even in the few years that I've been here, and DEI is a newer group that has been established. As a global company, we have the challenge of communicating across geographies, time zones, and languages. We do a better job than even some smaller companies I've worked for, but still have some room to improve here.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"#1 is the culture at Prologis. People are kind and generally trying their best. We work hard but we pause to have fun. I also love that each region has their own sub-culture that makes it fun to visit, learn, and collaborate. Leadership has a vision for the company and genuinely cares about its people. The company is headed in the right direction. Some of the newer departments are still in startup mode figuring things out and can be messier, but there are a lot of things to be excited about and customers are overall happy with the products/services offered. Prologis is a company that practices what it preaches. We actually, seriously, care about ESG and reducing our impact on the environment, compared to other places I've been where it looks more like greenwashing. I feel well compensated for my work, and for the most part my work/life balance is fantastic. It helps that we get lots of vacation time (that I actually feel comfortable taking) and even a few days off per year to volunteer.",cultur kind gener tri hard paus love region sub cultur make fun leadership vision genuin care head right newer depart still startup mode figur thing lot thing excit custom overal happi product servic prolog practic care esg reduc impact compar place look feel well compens part life balanc help lot vacat actual feel comfort take even day per year,"I would love to see more diversity in exec leadership roles (women, POC, and age) for fresh perspective. But I will say this has improved even in the few years that I've been here, and DEI is a newer group that has been established. As a global company, we have the challenge of communicating across geographies, time zones, and languages. We do a better job than even some smaller companies I've worked for, but still have some room to improve here.",love see divers exec leadership role age fresh say improv even year dei newer group global challeng commun across better even smaller compani work still room improv,One of the Best Companies I've Ever Worked For,best compani ever work,0.12665675580501556,0.017010048031806946,0.8563331365585327,0.10964670777320862,neutral,0,0,0.0
Company culture has changed,2025-01-13,Great office views and fun people to work with,"Company culture has changed negatively, lots of budget cuts and management is not transparent","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Great office views and fun people to work with,great offic view fun,"Company culture has changed negatively, lots of budget cuts and management is not transparent",cultur chang lot budget cut manag transpar,Company culture has changed,cultur chang,0.1591498851776123,0.01478435005992651,0.8260657787322998,0.14436553418636322,neutral,0,0,0.0
Great Place to Work,2025-07-16,"Very intentional about creating a culture of hardworking people that work well with others and fit the culture that has been created. There are a lot of opportunities for growth, as there are a lot of business units within our Industrial Real Estate business.","While Prologis industry leading and very intentional about diverse hiring while pursuing the most qualified individuals for the job, diversity is still low and is consistent with the industrial real estate industry.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Very intentional about creating a culture of hardworking people that work well with others and fit the culture that has been created. There are a lot of opportunities for growth, as there are a lot of business units within our Industrial Real Estate business.",intent creat cultur hardwork well other fit cultur lot opportun lot busi unit within industri real estat,"While Prologis industry leading and very intentional about diverse hiring while pursuing the most qualified individuals for the job, diversity is still low and is consistent with the industrial real estate industry.",prolog industri lead intent divers hire pursu qualifi individu divers still low consist industri real estat,Great Place to Work,great place,0.10020094364881516,0.013158014044165611,0.8866410255432129,0.0870429277420044,neutral,0,0,0.0
Fun Real Estate Company,2024-09-11,Prologis takes care of its employees first and that goes a long way in so many ways.,You will worry on having a boring time at work because you won't have any.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Prologis takes care of its employees first and that goes a long way in so many ways.,prolog take care employe first goe long way mani,You will worry on having a boring time at work because you won't have any.,worri bore,Fun Real Estate Company,fun real estat,0.07119708508253098,0.022957749664783478,0.9058451652526855,0.0482393354177475,neutral,0,0,0.0
Horrible Place to Work,2025-08-26,They promote people fast if you are a part of their clique. Good work life balance if they like you.,"I had the worst experience working here. I was blindsided with a poor performance review and given vague, unhelpful feedback that made no sense. My boss excluded me from meetings, spoke to me poorly, and held grudges whenever I made mistakes. Leadership encouraged me to “keep improving,” and offered to mentor me only to lay me off six months later. The VP was incompetent and openly said horrible things about her employees, while showing favoritism toward men in the office. Overall, leadership is a joke unprofessional, toxic, and completely lacking in accountability. I'm not sure how my boss thinks she is a good one. No diversity either and not accpeting of different kinds of people. I was told I don't fit in","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,They promote people fast if you are a part of their clique. Good work life balance if they like you.,promot fast part good life balanc,"I had the worst experience working here. I was blindsided with a poor performance review and given vague, unhelpful feedback that made no sense. My boss excluded me from meetings, spoke to me poorly, and held grudges whenever I made mistakes. Leadership encouraged me to “keep improving,” and offered to mentor me only to lay me off six months later. The VP was incompetent and openly said horrible things about her employees, while showing favoritism toward men in the office. Overall, leadership is a joke unprofessional, toxic, and completely lacking in accountability. I'm not sure how my boss thinks she is a good one. No diversity either and not accpeting of different kinds of people. I was told I don't fit in",worst experi blindsid poor perform given unhelp feedback made boss exclud spoke held grudg whenev made leadership encourag keep offer mentor lay six month vp incompet openli said horribl thing show favorit toward men leadership joke complet lack sure boss think good divers either accpet differ kind told fit,Horrible Place to Work,horribl place,0.07442789524793625,0.018795214593410492,0.9067768454551697,0.05563268065452576,neutral,0,0,0.0
Committed to excellence,2024-09-11,Strong commitment to walking the walk and being the best in class,Organizations can be a little silo'd with similar functions doing things differently,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Strong commitment to walking the walk and being the best in class,strong commit walk walk best class,Organizations can be a little silo'd with similar functions doing things differently,organ littl silo similar function thing differ,Committed to excellence,commit excel,0.192823588848114,0.017017444595694542,0.7901590466499329,0.17580614984035492,neutral,1,0,0.16666666666666666
Best Culture period. Purpose-Driven and People-First,2025-03-28,"Prologis has created a workplace that blends accountability with autonomy. The culture is hard to beat—fun, hardworking, down-to-earth, and rooted in doing the right thing. Everyone—from leadership to peers—genuinely cares about making a positive impact. We're encouraged to be ourselves, take smart risks, and support one another. It's fast-paced, but fun, and a shared sense of pride in leaving the world better than we found it. The global scope of the business adds exciting meaning to the work. You feel part of something much bigger than yourself, with real impact felt across communities.","Like any high-performing environment, things move quickly. Those who prefer a slower pace or a lot of handholding may find it challenging. You’ll thrive here if you’re self-motivated and collaborative.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"Prologis has created a workplace that blends accountability with autonomy. The culture is hard to beat—fun, hardworking, down-to-earth, and rooted in doing the right thing. Everyone—from leadership to peers—genuinely cares about making a positive impact. We're encouraged to be ourselves, take smart risks, and support one another. It's fast-paced, but fun, and a shared sense of pride in leaving the world better than we found it. The global scope of the business adds exciting meaning to the work. You feel part of something much bigger than yourself, with real impact felt across communities.",prolog creat workplac blend account cultur hard beat root right everyon leadership peer genuin care make posit encourag take smart support fast share sens pride leav world better found global scope busi add excit mean feel part someth much bigger real impact felt across,"Like any high-performing environment, things move quickly. Those who prefer a slower pace or a lot of handholding may find it challenging. You’ll thrive here if you’re self-motivated and collaborative.",high perform thing move prefer slower pace lot handhold may find thrive self motiv,Best Culture period. Purpose-Driven and People-First,best cultur purpos driven first,0.21992911398410797,0.014071950688958168,0.7659989595413208,0.20585715770721436,neutral,0,0,0.0
Great Employer!!,2024-10-09,The majority of people I’ve worked with are so knowledgeable and willing to collaborate. There’s always something new to learn and constant opportunities to develop my skillset.,Can be really fast paced. The business sometimes moves faster than accounting can adjust to their requests. Lack of communication between departments is a struggle.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,The majority of people I’ve worked with are so knowledgeable and willing to collaborate. There’s always something new to learn and constant opportunities to develop my skillset.,major work knowledg will alway someth new learn constant opportun develop,Can be really fast paced. The business sometimes moves faster than accounting can adjust to their requests. Lack of communication between departments is a struggle.,realli fast busi sometim move faster account adjust lack commun depart,Great Employer!!,great,0.31495440006256104,0.010868305340409279,0.6741772294044495,0.3040860891342163,neutral,0,0,0.0
Clique,2025-08-20,Good pay and nice offices,"people very cliquey, not kind","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Good pay and nice offices,good pay nice offic,"people very cliquey, not kind",kind,Clique,cliqu,0.3332238793373108,0.09279511868953705,0.573980987071991,0.24042876064777374,neutral,0,0,0.0
Great stable company,2025-05-07,The stability of Prologis is one small piece of what makes this a great place to work.,"Very few cons, has great benefits.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,The stability of Prologis is one small piece of what makes this a great place to work.,stabil prolog small piec make great place,"Very few cons, has great benefits.",great,Great stable company,great stabl,0.3851433992385864,0.00969315692782402,0.6051635146141052,0.3754502534866333,neutral,0,0,0.0
Nearly three years in,2024-09-11,- GREAT people - non-hierarchal mindset - interesting work - compensation / benefits - room to grow and move up,"Company is growing fast. Hope the inclusive, collaborative and supportive environment remains intact","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,- GREAT people - non-hierarchal mindset - interesting work - compensation / benefits - room to grow and move up,great non hierarch mindset interest compens benefit room grow move,"Company is growing fast. Hope the inclusive, collaborative and supportive environment remains intact",grow hope collabor support environ remain intact,Nearly three years in,nearli three year,0.7398978471755981,0.00897740013897419,0.2511247992515564,0.7309204339981079,positive,1,0,0.1
Industry Leader,2025-07-17,Great culture and innovative atmosphere,Understand your department wisely and career growth,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,Great culture and innovative atmosphere,great cultur innov atmospher,Understand your department wisely and career growth,understand depart wise career growth,Industry Leader,industri leader,0.11310092359781265,0.01124562881886959,0.8756535053253174,0.10185529291629791,neutral,0,0,0.0
"Prologis is an innovative, rock solid place to work",2025-03-25,"We're constantly trying new things, pushing boundaries, learning new technologies, and looking for ways to automate. Additionally, the company is well positioned for the coming years. They also have a great working environment, nice people who are also highly intelligent, and excellent benefits.","The workload gets heavy at times. It's difficult to expand and grow teams at times, especially with local resources.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm,"We're constantly trying new things, pushing boundaries, learning new technologies, and looking for ways to automate. Additionally, the company is well positioned for the coming years. They also have a great working environment, nice people who are also highly intelligent, and excellent benefits.",constantli tri new push learn new look way well posit come great nice highli excel,"The workload gets heavy at times. It's difficult to expand and grow teams at times, especially with local resources.",workload get heavi difficult expand grow team especi local,"Prologis is an innovative, rock solid place to work",prolog rock solid place,0.17049042880535126,0.016940783709287643,0.8125688433647156,0.15354964137077332,neutral,0,0,0.0
