title,rating,date,pros,cons,company,ticker,scrape_date,glassdoor_url
Horrible Leadership & 401k Limbo,1.0,"Aug 8, 2024","The only pros I have to say about NSA are that it was a good entry level job. My director and manager really encouraged me to learn different things - excel, SQL, etc.","NSA has a horrible HR team. They have been unable to assist me in rolling over my 401k for almost a year since I was let go. They don’t respond to emails about the matter and when they do they barely read the email that I sent to them. Also management is generally cliquey and immature. I was fired after less than 4 months without ever having a serious conversation with a manager. You might think I’m exaggerating but I’m not. The week before I was fired the director personally told me I was doing well. The next time I saw him they were terminating my for “performance reasons.” They never went into detail past that. Even after me asking just for feedback, wanting to know what I did wrong so I wouldn’t do it again, they never told me. I apologized for whatever it was I did, and as I got up to leave I extended my hand to shake his hand and he snubbed me…",National Storage Affiliates,NSA,2025-11-11,https://www.glassdoor.com/Reviews/National-Storage-Affiliates-Reviews-E2469764.htm
Senior Property Accountant,2.0,"Mar 4, 2025",Smaller company so a lot more hands on experience,Bureaucratic Senior Management Micromanaging senior leader Low pay for demands of role Hostile work environment,National Storage Affiliates,NSA,2025-11-11,https://www.glassdoor.com/Reviews/National-Storage-Affiliates-Reviews-E2469764.htm
Could be better,3.0,"Mar 11, 2025","Supportive Manager, supportive team, good place",They can be better as a company,National Storage Affiliates,NSA,2025-11-11,https://www.glassdoor.com/Reviews/National-Storage-Affiliates-Reviews-E2469764.htm
Medicore,2.0,"Feb 22, 2025",Not much pros at all,Pay is low. Benefits are low.,National Storage Affiliates,NSA,2025-11-11,https://www.glassdoor.com/Reviews/National-Storage-Affiliates-Reviews-E2469764.htm
Isabelle w,3.0,"Apr 3, 2024",Great people Nice pay Nice tenants Good values,6 month policy Work til 6 pm rather start earlier to leave earlier lol,National Storage Affiliates,NSA,2025-11-11,https://www.glassdoor.com/Reviews/National-Storage-Affiliates-Reviews-E2469764.htm
"Abysmal Leadership, Gossipy, Biased",1.0,"Jul 13, 2024",You get paid and will have a desk.,"I have never worked at a less professional place. Gossip was rampant. Employees who'd been there a super long time are always put above others. Their turn over average was one year at corporate. You're ""not allowed"" to get high marks on your employee review even if you'd done a stellar job. They want you to be anxious, eager to please and a suck up. If you have any confidence in yourself or your abilities, you ""won't belong."" The work load is like having five dumpster fires all burning at the same time and leadership hovers over you. Long term people can do no wrong and any newcomers can't seem to do anything right. They boast about 'being a family' and meet that expectation by being fully dysfunctional.",National Storage Affiliates,NSA,2025-11-11,https://www.glassdoor.com/Reviews/National-Storage-Affiliates-Reviews-E2469764.htm
Good Company,4.0,"Dec 17, 2024",They are upfront and are constantly providing on the job training.,Its one of the better self storage places to work for if your looking for.,National Storage Affiliates,NSA,2025-11-11,https://www.glassdoor.com/Reviews/National-Storage-Affiliates-Reviews-E2469764.htm
Run Away,1.0,"Dec 20, 2024",Very nice at first and all responses are let me know how I can assist.,They never really assist with anything...low pay.....upper management always telling how busy they are.....no promotion from within....horrible HR team....very sneaky and not forth coming....,National Storage Affiliates,NSA,2025-11-11,https://www.glassdoor.com/Reviews/National-Storage-Affiliates-Reviews-E2469764.htm
Rate Evaluation,5.0,"Sep 13, 2024","I have all good things to say about my position as a APM. Our District and Area managers are one the best leaders I have work with. They stand by the companies core values by applying them themselves both in a profesional and personal manner. Thank you NSA also, for showing great interest andsupport in your employees.","As a part time employee, I believe we should be offered life insurance",National Storage Affiliates,NSA,2025-11-11,https://www.glassdoor.com/Reviews/National-Storage-Affiliates-Reviews-E2469764.htm
Good place to work,5.0,"Jun 20, 2024","Good coworkers, good management is involved at all levels without micromanaging, spend a fair amount of time on the property so you aren't stuck in an office all day, Property Managers (PMs) have the option to live at some sites. As an APM, I work at more than one store, so it's not the same routine every day.","Limited paid vacation days until you've been there a while,",National Storage Affiliates,NSA,2025-11-11,https://www.glassdoor.com/Reviews/National-Storage-Affiliates-Reviews-E2469764.htm
Good Company,5.0,"Jul 2, 2024","Work independently, Not micro-managed, I stay busy, Good Managers.",Taking an hour lunch. Tenants dump trash on property for me to deal with. Hour lunches are too long. Let us leave at 5:30.,National Storage Affiliates,NSA,2025-11-11,https://www.glassdoor.com/Reviews/National-Storage-Affiliates-Reviews-E2469764.htm
Do Not Work Here,1.0,"Oct 16, 2024",nothing about working here was good.,office is a very depressing office and decision makers seem like they take way too much Adderall to the point where they are thinking unclearly & are bouncing off the walls with meaningless work.,National Storage Affiliates,NSA,2025-11-11,https://www.glassdoor.com/Reviews/National-Storage-Affiliates-Reviews-E2469764.htm
Horrible Benefits,3.0,"Jun 20, 2024",My RM and AM are great and seem like they really care about us. They listen and try to get results for us. It’s a pretty relaxed atmosphere.,They offer no major medical benefits. The RX plan is a discount program. Vacation accruals are the lowest I have ever seen. You earn more sick time than vacation time and they tell you to take your sick time first for PTO.,National Storage Affiliates,NSA,2025-11-11,https://www.glassdoor.com/Reviews/National-Storage-Affiliates-Reviews-E2469764.htm
The support is amazing,5.0,"Sep 19, 2024",This company cares about the people and takes their core values serious.,Wish we had another corporate office on the east coast,National Storage Affiliates,NSA,2025-11-11,https://www.glassdoor.com/Reviews/National-Storage-Affiliates-Reviews-E2469764.htm
Good company to work for,5.0,"Sep 13, 2024",Meet a lot of different types of people,Have to work Saturdays and you have to sell merchandise and the company,National Storage Affiliates,NSA,2025-11-11,https://www.glassdoor.com/Reviews/National-Storage-Affiliates-Reviews-E2469764.htm
Property Manager,4.0,"Aug 27, 2024",RightSpace Storage (under Optivest properties) is a great place to work!,"A lot of time outside, even in the winter.",National Storage Affiliates,NSA,2025-11-11,https://www.glassdoor.com/Reviews/National-Storage-Affiliates-Reviews-E2469764.htm
