title,date,pros,cons,company,ticker,property_type,scrape_date,glassdoor_url
The best place I've worked,"May 2, 2025",You get to work with some of the smartest and best people in the industry who focus on innovation and results but also care about you. It's rare to find a company that genuinely cares about doing the right thing as much as it cares about being successful. Prologis is the best place I've ever worked.,Prologis runs lean and is a flat organization so rapid upward mobility is not always an option.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Industry Leader,"Jul 17, 2025",Great culture and innovative atmosphere,Understand your department wisely and career growth,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
"Amazing Company, Amazing Culture","Apr 21, 2025",Ability to be creative and drive change. Upper management is open to ideas to make the company better & encourages such.,"Some of the work can be intense. The cycles can be tough. Like long nights & weekends. But this is typically short bursts and things always settle, and time off to recover is encouraged.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
"Innovative, Inclusive and Inspiring Workplace!","Mar 19, 2025","Having been at Prologis for over 10 years, I can confidently say this company has provided me with incredible career growth opportunities. From day one, I have been surrounded by talented, driven professionals who challenge and inspire me to do my best. The culture here is second to none—collaborative, innovative, and supportive of employees at all levels. Compensation has always been fair and competitive, reflecting both market standards and the value the company places on its people. Being part of the industry leader in logistics real estate has been an exciting journey, and I am proud to contribute to a company that continually strives for excellence.",Hard to state anything negative- Prologis is the best!,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Chill work environment,"Jul 2, 2025",Definitely love the environment and very knowledgeable coworkers.,I would say the pay is not that competitive.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
People-First Company with a Genuine Culture,"May 23, 2025","Well rounded benefits package, generous PTO, and other employee perks that support overall well-being. Strong leadership – executives are approachable, communicative, and genuinely invested in employee success. Friendly, collaborative employees – coworkers are supportive and foster a team-oriented environment.","Work can be fast-paced and occasionally stressful, especially during peak periods or when juggling multiple priorities.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Great Place to Work,"Jun 10, 2025","Challenging work, collaborative environment, flexibility, talented team with shared vision for success. Management values employees and encourages innovation and efficiency, keeping us Ahead of What's Next.",Relatively high stress and pressure at times.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
People love it here,"Jun 10, 2025","Great culture, terrific leadership and the company has bold ambitions worldwide. An inspiring place to work and colleagues treat each other with respect.",There is a lot to do!,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Talented team and forward-thinking culture,"Mar 26, 2025","I work with highly competent people who take pride in what they do. There’s a strong push to stay ahead of the technology curve, which keeps the work fresh and challenging. I’m consistently encouraged to develop new skills and explore innovative solutions—especially in the Microsoft ecosystem. Leadership is technically aware and open to modern approaches.","Inter-departmental communication could be stronger. Sometimes, alignment between teams takes longer than necessary and leads to duplicated efforts or unclear responsibilities. While the intention is good, some cross-team processes could be streamlined.","Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
Fantastic Company!,"Apr 21, 2025",Executive management is very proactive on being transparent to everyone on a frequent basis.,istent branding and processes across all regions and groups considering we are a global company. Offers great work and life balance and terrific office amenities.,"Prologis, Inc.",PLD,Industrial,2025-11-18,https://www.glassdoor.com/Reviews/Prologis-Reviews-E2631.htm
